author	bookid	bpoids	htrcids	genres	subjects	title	pubdate
Chambers Robert W Robert William	B1486	{8970875}	{'nyp.33433074809447'}		{'Commune, 1871', 'History'}	The red republic a romance of the commune	1895
Dickens Charles	B2094	{2848795, 9017639, 8442183}	{'hvd.32044090341959'}	{'Historical fiction'}	{'Gordon Riots, 1780', '18th century', 'Social life and customs', 'History', '19th century'}	Master Humphreys clock	1840
Major Charles	B5631	{3164897}	{'uc1.b3550216'}		{'Great Britain', 'History', 'Henry VIII, 1509-1547'}	When knighthood was in flower or The love story of Charles Brandon and Mary Tudor the kings sister and happening in the reign ofHenry VIII	1898
Smith Horace	B7841	{8288848, 6141109}	{'wu.89101370567', 'wu.89101370583', 'wu.89101370542'}		{'Commonwealth and Protectorate, 1649-1660', 'History'}	Brambletye houseor Cavaliers and roundheadsa novel	1826
Roberts Margaret	B7137	{8507622, 8766574}	{'uc2.ark+=13960=t9280bf4j'}		{'Revolution, 1789-1799', 'France', 'History'}	Noblesse oblige	1876
Scott Walter Sir	B7343	{8565754, 6805270}	{'mdp.39015012932110'}		{'James I, 1603-1625', 'History'}	The fortunes of Nigel With 52	1832
Dumas Alexandre	B2356	{8624974}	{'uc2.ark+=13960=t5z60fk0x'}		{'Cagliostro, Alessandro', 'Queen, consort of Louis XVI, King of France', 'France', 'French literature', '1755-1793', 'Louis XVI, 1774-1793', 'conte di', '1743-1795', 'History', 'Marie Antoinette'}	The queens necklace	1850
Hugo Victor	B3490	{5836929, 5221454}	{'hvd.hwkd4j'}		{'Louis XI, 1461-1483', 'History', 'To 1515'}	The hunchback of NotreDame	1834
Thompson Leigh	B8247	{3211634}	{'wu.89006523229'}		{'Rebellion, 1914-1915', 'History'}	The lion and the addera story of the South African rebellion	1918
Braddon M E Mary Elizabeth	B988	{9405209, 6668418}	{'uc2.ark+=13960=t9377dj1w'}		{'17th century', 'History', '1602-1661', 'France', '1600-1649', 'Charles', 'King of England', 'Mazarin, Jules'}	In high places	1898
Chambers Robert W Robert William	B1719	{9052837}	{'uc2.ark+=13960=t2c826s8x'}		{'United States', 'History', 'Civil War, 1861-1865'}	Special messenger	1900
Bird Robert Montgomery	B405	{8304225}	{'mdp.39015056754222', 'mdp.39015056753950', 'mdp.39015056754214'}		{'Conquest, 1519-1540', 'History'}	Cortes or The fall of Mexico	1835
Stephens Robert Neilson	B7710	{3173924}	{'uc2.ark+=13960=t6d21t54b'}		{'France', 'History', 'Henry IV, 1589-1610'}	An enemy to the king	1897
WhyteMelville G J George John	B8702	{8456905}	{'uc2.ark+=13960=t9n302p00', 'uc1.b3044701'}		{'Civil War, 1642-1649', 'Great Britain', 'History'}	Holmby house	1860
Parker Gilbert Sir	B6695	{8840502}	{'uc2.ark+=13960=t8cf9s57f'}		{'To 1763 (New France)', 'Canada', 'History', 'United States', 'French and Indian War, 1754-1763'}	The seats of the mighty	1898
Grossi Tommaso	B3052	{6180201, 6103358, 4447607}	{'njp.32101055952186'}		{'Visconti, Marco', 'd. 1329', 'History', '1268-1492'}	Marco Visconti from the Italia	1845
Conrad Joseph	B1418	{9345848}	{'mdp.39015066053649'}		{'History', '1904-1914'}	Under western eyes	1923
Payson William Farquhar	B6578	{8874149}	{'nyp.33433076050941'}		{'History', 'Colonial period, ca. 1600-1775'}	John Vytala tale of the lost colony	1901
Stowe Harriet Beecher	B7624	{4995392, 4450378}	{'uc1.b4145140'}	{'Juvenile audience', 'Bibliographies'}	{'Master and servant', 'Plantation life', 'United States', 'Slaves', 'Southern States', 'Uncle Tom (Fictitious character)', 'Fugitive slaves', 'Slavery', 'African Americans', 'History'}	Uncle Toms cabin	1852
Trowbridge J T John Townsend	B8064	{9431027, 8780910}	{'nc01.ark+=13960=t0ns17x5d'}	{'Historical fiction', 'Juvenile audience', 'Bibliographies', 'War stories'}	{'Abolitionists', 'Quakers', 'Unionists (United States Civil War)', 'Fugitive slaves', 'Civil War, 1861-1865', 'History'}	Cudjos cave	1863
Stedman Douglas C	B7586	{6706047}	{'uc1.31158003962957'}	{'Juvenile audience'}	{'fl. 1071', 'Norman period, 1066-1154', 'England', 'Hereward', 'History', 'Folklore'}	The story of Hereward the champion of England	1909
Ruffini Giovanni	B6950	{5000368, 8725659}	{'njp.32101055717035'}		{'History'}	Doctor Antonioa tale of Ital	1857
LevettYeats S Sidney Kilner	B4925	{3175652}	{'uc2.ark+=13960=t03x88n6s'}		{'History', 'Italy'}	The honour of Savelli	1895
Markham Clements R Clements Robert Sir	B5373	{3170458}	{'nnc1.1000393819'}		{'King of Northumbria', '585?-633', 'History', 'Anglo-Saxon period, 449-1066', 'Edwin'}	The paladins of Edwin the Great	1896
Merwin Samuel	B5704	{3159899, 8869806, 6807654}	{'uc2.ark+=13960=t2k64cm2s'}		{'Railroads', 'History'}	The short line war	1899
Tytler Sarah	B8236	{4851126}	{'uiuo.ark+=13960=t8qc0hz7f', 'uiuo.ark+=13960=t2891q545', 'uiuo.ark+=13960=t3ws9618t'}		{'France', 'History', 'Revolution'}	Citoyenne Jacqueline	1865
Johnston Mary	B4251	{9071393, 3184950}	{'nyp.33433076071970', 'mdp.39015063920139'}		{'History', 'Civil War, 1861-1865'}	The long roll	1911
Doyle Arthur Conan Sir	B2127	{8926569, 6818883, 3179668}	{'mdp.39015047642387'}	{'Novel', 'Historical fiction'}	{'Knights and knighthood', 'History', 'Edward III, 1327-1377'}	Sir Nigel	1906
Quint Wilder Dwight	B6846	{3181350}	{'uc2.ark+=13960=t3bz62q8r'}		{'Siege, 1775-1776', 'Boston (Mass.)', 'History'}	My Lady Laughter	1904
Crockett S R Samuel Rutherford	B1866	{8985514, 6746229}	{'uva.x001606706'}		{'History', 'Carlist War, 1833-1840'}	The firebrand	1901
Kingsley Charles	B4639	{9432073}	{'uiuo.ark+=13960=t8mc9h99c', 'uiuo.ark+=13960=t4sj2299h'}	{'Bibliographies'}	{'1819-1875', 'To 1066', 'English literature', 'Great Britain', 'History', 'Kingsley, Charles'}	Hereward the Wake	1866
Dickens Charles	B2163	{8448312}	{'mdp.49015002596832', 'uc1.b3549878'}	{'ContainsBiogMaterial', 'History', 'Historical fiction'}	{'French fiction', 'Executions and executioners', 'London', 'Revolution, 1789-1799', 'Dickens, Charles', 'England', 'French', '1812-1870', 'Lookalikes', 'Fathers and daughters', 'History'}	A tale of two cities	1863
Hamilton John A John Arthur	B3641	{6670816, 8986856, 3278414}	{'nyp.33433044068033'}	{'Mystery fiction'}	{'History'}	The ms in a red box	1903
Scollard Clinton	B7538	{8877774}	{'nyp.33433076044266'}	{'History'}	{'476-1268', 'Vendetta', 'History'}	The vicar of the marches	1911
Burnett Frances Hodgson	B1268	{8968211}	{'coo.31924021965714'}	"{""Publishers' cloth bindings (Binding)"", 'New York (State)', 'New York', 'Historical fiction'}"		A lady of quality being a most	1896
Blackmore R D Richard Dooddridge	B705	{8675288, 2737970, 8740245}	{'nyp.33433074940838'}	{'History', 'Novel', 'Historical fiction', 'Love stories'}	"{'Charles II, 1660-1685', 'History', ""Monmouth's Rebellion, 1685""}"	Lorna Doone a romance of Exmoor	1886
Picard LB LouisBenoît	B6434	{8167383}	{'hvd.hwkm9c'}		{'Revolution, 1789-1799', 'History'}	The Gil Blas of the Revolution	1825
Aguilar Grace	B85	{5286760, 4977069}	{'nyp.33433074945951', 'nyp.33433074945969'}		{'1274-1329', 'King of Scots', 'Robert', 'History'}	The days of Brucea story from Scottish history	1847
Stacpoole H De Vere Henry De Vere	B7478	{8929531}	{'nyp.33433075751382'}		{'Second Empire, 1852-1870', 'History'}	The drums of war	1910
QuillerCouch Arthur Thomas Sir	B6840	{3158542}	{'uc1.b4104140'}		{'William and Mary, 1689-1702', 'III', 'Dutch War, 1672-1678', 'Ship captains', '1650-1702', 'King of England', 'Historical fiction', 'William', 'History'}	The blue pavilions	1891
Harris Joel Chandler	B3752	{8879473, 6758300}	{'nyp.33433076088305'}	{'History'}	{'United States', 'History', 'War stories, American', 'Civil War, 1861-1865'}	On the wing of occasions being the authorized version of certain curious episodes of the late Civil War including the hitherto suppressed narrative of the kidnapping of President Lincoln	1900
Haggard H Rider Henry Rider	B3646	{8877448, 3530444}	{'nyp.33433074850235'}		{'English fiction', 'Wars of Independence, 1556-1648', 'History'}	Lysbeth a tale of the Dutch	1901
Connelly Celia Logan	B1451	{4845090, 9455239}	{'njp.32101066457753'}		{'History', 'Civil War, 1861-1865'}	The elopement a tale of the Confederate States of America	1863
Crockett S R Samuel Rutherford	B2039	{3167331}	{'nyp.33433074949847'}	"{'History', ""Publishers' cloth bindings (Binding)"", 'United States', 'War stories', 'Historical fiction', 'Pictorial cloth bindings (Binding)'}"		The men of the mountain	1909
Ward James	B8608	{9019986}	{'nyp.33433075763965'}		{'February Revolution, 1848', 'History'}	Adolphe Renouard or peasant life and political clubs in France	1852
Yonge Charlotte M Charlotte Mary	B9014	{8624769}	{'nyp.33433075860811', 'uc2.ark+=13960=t48p64j0c'}	{'Juvenile audience'}	{'Great Britain', 'History', 'Edward III, 1327-1377'}	The lances of Lynwood	1856
Ford Thomas J	B2665	{3164355}	{'loc.ark+=13960=t2988g55c'}		{'Wisconsin Infantry Regiment, 24th (1862-1865)', 'Regimental histories', 'Personal narratives', 'United States', 'Army', 'Civil War, 1861-1865', 'History'}	With the rank and file	1898
Moore Frank Frankfort	B5192	{8885651}	{'coo.31924013525997', 'coo.31924064972668'}		{'1649-1650', '1649-1660', 'History'}	Castle Omeragh	1903
Orczy Emmuska Orczy Baroness	B6373	{3176017, 8916058}	{'wu.89001431436'}		{'Revolution, 1789-1799', 'History'}	The elusive pimpernel	1908
OGrady Standish	B6329	{8930769}	{'uc1.$b684700'}		{'1558-1603', 'History'}	Ulrick the Ready or The chieftains last rally	1896
Davis William Stearns	B2360	{6811010}	{'uc2.ark+=13960=t6g15vp0b'}		{'History', 'Babylon (Extinct city)'}	Belshazzar	1902
Grattan Thomas Colley	B3207	{6142224, 8784113}	{'uc1.b3322549', 'uc1.b3322547', 'uc1.b3322548'}		{'Wars of Independence, 1556-1648', 'History'}	Agnes de Mansfeldt a historical tale	1835
Cooper James Fenimore	B1332	{5161175}	{'hvd.32044080902265', 'hvd.32044097914220'}	{'Historical fiction', 'War stories', 'Bibliographies', 'Spy stories', 'Domestic fiction'}	{'Revolution, 1775-1783', 'History'}	The spya tale of the neutral ground	1824
MacMunn George Fletcher	B5722	{8966493}	{'uc2.ark+=13960=t3kw5846r'}		{'1526-1765', 'European settlements, 1500-1765', 'India', 'History'}	A freelance in Kashmir	1914
Lee Albert	B4819	{8988976}	{'nyp.33433074877790'}		{'English fiction', 'Wars of Independence, 1556-1648', 'History'}	King Stork of the Netherlands a romance of the early days of the Dutch republic	1901
Weyman Stanley John	B8743	{8820984, 3175325}	{'uc2.ark+=13960=t16m3bj9x', 'uc2.ark+=13960=t0ft8p04b', 'uc2.ark+=13960=t7vm4bq74'}		{'France', 'History', 'Henry III, 1574-1589'}	A gentleman of France	1893
HobartHampden Augustus Charles	B3502	{6732133}	{'loc.ark+=13960=t5w674q3g'}		{'Adventure and adventurers', 'Blockades', 'United States', 'History', 'Civil War, 1861-1865'}	Sketches from my life	1886
Crouch Archer Philip	B1611	{3168018}	{'nyp.33433074954839'}		{'History', 'War of Independence, 1810-1824'}	Señorita Montenar	1898
Liljencrantz Ottilie A Ottilia Adelina	B5096	{9247669}	{'nyp.33433075785745'}	{'Science fiction', 'Historical fiction'}		The thrall of Leif the Lucky a	1902
Wilder Thornton	B8485	{3226049, 2446460}	{'mdp.39015008251194'}	{'Historical fiction'}	{'Accident victims', 'Bridges', 'Accidents', 'Peru'}	The bridge of San Luis Rey	1927
Cooper James Fenimore	B1333	{4970720}	{'hvd.32044097914014', 'hvd.hw3jdp'}		{'Antirent War, N.Y., 1839-1846', '1775-1865', 'History', 'New York (State)'}	Satanstoe or The Littlepage manuscripts	1845
James G P R George Payne Rainsford	B4260	{6146649, 8785351}	{'uc1.b3124537', 'njp.32101067647725', 'uc1.b3124538'}		{'History', 'Henry IV, 1589-1610'}	One in a thousandor the days of Henry Quatre	1835
