author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Bunner H C Henry Cuyler	B384	{6662944}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'mdp.39015030853520'}		Love in old cloathes and other		1896
Harris Miriam Coles	B3753	{8927354}		{'nyp.33433076088446'}	{'American fiction'}	The tents of wickedness		1909
Eastman Mary H Mary Henderson	B2599	{9178575}		{'uc2.ark+=13960=t00z71d6s'}	{'United States', 'Slavery'}	Aunt Philliss cabin		1852
Brown Alice	B569	{6821525, 3174998}		{'nyp.33433074808704'}	{'American fiction'}	Rose MacLeod		1908
Nicholson Meredith	B6129	{2440418, 6766830}		{'nyp.33433076023120'}	{'American fiction'}	The proof of the pudding		1916
Barr Amelia Edith Huddleston	B584	{9109919}		{'nyp.33433074833413'}	{'American fiction'}	Playing with fire		1914
Brown Helen Dawes	B910	{9181321}		{'uc2.ark+=13960=t43r0q48r'}	{'American fiction'}	The Petrie estate		1893
Crawford F Marion Francis Marion	B1388	{8869946}		{'mdp.39015059395155'}	{'American fiction'}	Marietta  a maid of Venice		1901
Irving Washington	B4174	{5159017, 5077604, 5156105}		{'hvd.hwdf1s'}	{'American fiction', 'American essays'}	The sketch book of Geoffrey Crayon gent pseud		1820
Gardenhire Samuel Major	B3152	{9035880, 3164034, 3191112}	{'Mystery and detective fiction', 'United States'}	{'nyp.33433076069156'}		The long arm		1906
Bedford Randolph	B583	{3284333, 8912975}		{'nyp.33433074833223'}	{'American fiction'}	The snare of strength		1906
Atherton Gertrude Franklin Horn	B21	{3161089, 6794262}		{'mdp.39015018048069'}	{'American fiction'}	Patience Sparhawk and her times a novel		1897
Wharton Edith	B8697	{3186960, 9286594, 6809123}	{'Bibliographies'}	{'uc1.32106002154331'}	{'Social life and customs', 'New York', 'Single women', 'New York (State)'}	The house of mirth		1905
Connor Ralph	B1389	{3201348}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'mdp.39015059407935'}	{'World War, 1914-1918'}	The sky pilot in no mans land		1919
Crawford F Marion Francis Marion	B1384	{8834417, 6829287}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)', 'Love stories'}"	{'mdp.39015059394315'}		Cecilia  a story of modern Rom		1902
Monk Thymol	B5541	{3156039}		{'nyp.33433076044928'}	{'American fiction'}	An altar of earth		1894
Jones Amanda Theodocia	B4238	{6854100, 3170436}	{'Autobiography'}	{'mdp.39015039530764'}	{'Women poets, American', '1835-1914', 'Women inventors', 'Spiritualists', 'Biography', 'Jones, Amanda Theodocia', 'United States', 'Spiritualism'}	A psychic autobiography		1910
Brady Cyrus Townsend	B557	{6823111}		{'nyp.33433074798004'}	{'American fiction'}	The blue oceans daughter		1907
Paterson Arthur	B6491	{6791313}		{'nc01.ark+=13960=t50g4g36j'}	{'United States', 'History', 'Civil War, 1861-1865'}	The gospel writ in steel		1898
Macdonald Alexander	B5641	{6691507}	{'Autobiography'}	{'uc1.b3820828'}	{'Description and travel', '1878-1939', 'Papua New Guinea', 'New Guinea', 'Macdonald, Alexander', 'Australia', 'Frontier and pioneer life'}	In the land of pearl and gold a pioneers wanderings in the backblocks and pearling grounds of Australia and New Guinea		1907
Trollope Anthony	B8169	{8519142}		{'uc1.b4104233'}	{'19th century', 'Australia', 'Social life and customs', 'Frontier and pioneer life', 'History', 'British'}	Harry Heathcote of Gangoil A tale of Australian bush life		1874
Chapin Charles E	B1380	{8998785}		{'mdp.39015055053436'}	{'Journalism', 'United States'}	Charles Chapins story written in Sing Sing prison		1920
Spence Lewis	B7324	{6853911}		{'loc.ark+=13960=t9571j39x'}	{'Religion', 'Indians of North America', 'Folklore', 'Indian mythology', 'North America'}	The myths of the North American Indians		1914
Stephenson Nathaniel W Nathaniel Wright	B7543	{6802932, 8991077}		{'nyp.33433076062672'}	{'American fiction'}	They that took the sword		1901
Myrick Herbert	B5640	{8919635}		{'uc1.b3581601'}	{'Indians of North America', 'Cowboys', 'Frontier and pioneer life'}	Cache la poudre  the romance of a tenderfoot in the days of Custer		1905
Peattie Elia Wilkinson	B6487	{6800355, 8886055, 6748023}		{'mdp.39015071614098'}	{'Michigan', 'Lumbermen', 'Fictin'}	The beleaguered forest		1901
Cooper James Fenimore	B1927	{8720962}	{'Western stories', 'Bibliographies', 'Historical fiction'}	{'njp.32101079670293'}		The prairie  a tale		1836
Sedgwick Catharine Maria	B7530	{8615089, 8715804}		{'nyp.33433076029820'}	{'American fiction'}	Clarence or A tale of our own times		1830
Rives Amélie	B7064	{9372696, 3195798}		{'uc2.ark+=13960=t2q52fh2d'}	{'American fiction'}	Worlds end		1914
Crawford F Marion Francis Marion	B1680	{6818065, 3176246}	{'American fiction', 'ContainsBiogMaterial'}	{'uc1.b3548225'}	{'(OCoLC)fst00013265', 'John', 'of Austria', '1547-1578'}	In the palace of the king a love story of old Madrid		1900
Binns Ottwell	B688	{3209784}	{'Western stories'}	{'nyp.33433074939806'}		A mating in the wilds		1920
Kingsley Henry	B4586	{8441650, 8632494, 6246198}	{'Bibliographies'}	{'uc2.ark+=13960=t2q52mj1f', 'uc2.ark+=13960=t3nv9gf05', 'uc2.ark+=13960=t6vx0cc6w', 'pst.000049906899'}	{'Australian fiction', '1788-1900', 'Shorter, Clement King', '1857-1926', 'Australia', 'Frontier and pioneer life', 'History', 'British'}	The recollections of Geoffry Hamlyn		1859
Fleming George	B2732	{3172146, 6766123}		{'nyp.33433074797675'}	{'American fiction'}	Little stories about women		1897
Grey Zane	B3391	{4923644}	{'Western stories', 'Historical fiction, American', 'Biographical fiction, American'}	{'nyp.33433076067234'}		The last trail  a story of ear		1909
Connor Ralph	B2055	{6806787}	"{""Publishers' cloth bindings (Binding)"", 'Juvenile audience', 'New York', 'New York (State)'}"	{'nyp.33433074860002'}		The sky pilot  a tale of the f		1899
Dixon Thomas	B2189	{8909222}	{'Political fiction', 'Bibliographies', 'Novel'}	{'nyp.33433074809504'}	{'Ku Klux Klan (19th cent.)', 'Race relations', 'Newspaper editors', 'United States', 'White supremacy movements', 'Reconstruction (U.S. history, 1865-1877)'}	The sins of the father a romance of the South		1912
Evans Augusta J Augusta Jane	B2596	{9458182}	"{""Publishers' bindings (Binding)"", 'United States'}"	{'uc1.b4102284'}	{'History', 'Civil War, 1861-1865'}	Macaria		1864
Risley R V Richard Voorhees	B6997	{6789449}		{'nyp.33433076047897'}	{'American fiction'}	The sentimental Vikings		1897
Cooper E H Edward Herbert	B1760	{8819625, 6774151}		{'uc2.ark+=13960=t5m90414w'}	{'American fiction'}	Resolved to be rich		1899
Banks Elizabeth L	B899	{4089393}		{'uc2.ark+=13960=t3cz3331w'}	{'Biography', 'Women journalists', 'United States', 'IsBiographical', 'Banks, Elizabeth L'}	The autobiography of a newspaper girl		1902
Atherton Gertrude Franklin Horn	B203	{3174984, 6793866}		{'uva.x004011480'}	{'(OCoLC)fst01204155', 'Race relations', 'Color line', 'United States', 'Congress', 'Senate', '(OCoLC)fst01086509'}	Senator North		1900
Brady Cyrus Townsend	B922	{8999322}		{'uc2.ark+=13960=t4zg6gk22'}	{'American fiction'}	The corner in coffee		1904
Webster Jean	B8774	{3281679, 3207415}		{'uc2.ark+=13960=t2g737892'}	{'American fiction'}	Much ado about Peter		1909
Garland Hamlin	B3172	{3219056}	{'Autobiography'}	{'nyp.33433082405808'}	{'Northeastern States', 'Frontier and pioneer life', 'Northwestern States'}	A son of the middle border		1917
Wister Owen	B8813	{6791202, 8971835}	{'Biography', 'Western stories'}	{'uc2.ark+=13960=t7pn8z91m'}	{'American fiction'}	Lin McLean		1898
Allen James Lane	B100	{8850699, 3167781, 6786359}		{'nyp.33433082168851'}	{'American fiction'}	The choir invisible		1897
Ryley Madeleine Lucette	B7004	{6762793}		{'nyp.33433076052400'}	{'Women authors, American', 'American fiction', '19th century'}	An American citizen		1898
Beauclerk Caroline Frederica	B582	{8781385, 4696693}		{'nyp.33433074833041'}	{'American fiction'}	Tales of fashion and reality		1836
Forbes Esther	B2668	{3231952, 2454430}		{'mdp.39015003675520'}	{'Massachusetts', 'Witchcraft', 'Salem'}	A mirror for witches in which is reflected the life machinations and death of famous Doll Bilby who with a more than feminine perversity preferred a demon to a mortal lover  here is also told how and why a righteous and most awfull judgment befell her destroying both corporeal body and immortal soul		1928
Payne Will	B6580	{6805625}		{'nyp.33433076051048'}	{'American fiction'}	Jerry the dreamer		1896
Cody H A Hiram Alfred	B1628	{8948297}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'nyp.33433082520903'}		The chief of the ranges  a tale of the Yukon		1913
Skene Felicia	B7304	{4858218, 4373155}		{'dul1.ark+=13960=t5x64812v'}	{'Oxford (England)', 'American fiction', 'Prisons', 'England', 'Provenance', 'Prostitutes', 'Benson, C. S'}	Hidden depths		1866
Lee Holme	B5008	{8524432, 8736412, 6181303}		{'uiuo.ark+=13960=t88g96s10', 'uiuo.ark+=13960=t3tt56p15', 'uiuo.ark+=13960=t01z4sj1f'}	{'American fiction'}	Against wind and tide		1859
Burnett Frances Hodgson	B1268	{8968211}	"{""Publishers' cloth bindings (Binding)"", 'New York (State)', 'New York', 'Historical fiction'}"	{'coo.31924021965714'}		A lady of quality being a most		1896
