author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Norris Frank	B6156	{6849413}	{'NotBiographical', 'Bibliographies'}	{'uc2.ark+=13960=t52f7mb39'}		Vandover and the brute	1902
Stigand C H	B7643	{3206693}		{'uc2.ark+=13960=t0pr7ns7s'}	{'Tales, Swahili', 'Africa, East', 'Folklore'}	Black tales for white children	1914
Andersen H C Hans Christian	B15	{4973077, 8467653}	{'Juvenile audience'}	{'mdp.39015004314079'}	{'Fairy tales'}	Danish fairy legends and tales	1861
Allen Grant	B87	{8839168}		{'nyp.33433074947684'}		A splendid sin	1899
Schreiner Olive	B7729	{3160660, 9181277}		{'uc2.ark+=13960=t7hq3w36r'}		Dream life and real life	1893
Alexander Mirian	B77	{8897159}		{'nyp.33433074919584'}		Beyond the law	1912
De Morgan William Frend	B2319	{9068552}		{'uc2.ark+=13960=t1ng4pv37'}		An affair of dishonour	1910
Marryat Frederick	B6034	{4414743}		{'nyp.33433075821524'}		The settlers in Canada Written	1844
Benson E F Edward Frederick	B616	{6788384, 3273192, 6801285, 9230238}		{'nyp.33433074926894'}	{'English fiction'}	The luck of the Vails	1901
Broughton Rhoda	B782	{8584153}		{'uc1.32106005407439'}		Red as a rose is she A novel	1870
Stephens John L	B7973	{9263257}		{'mdp.39015012339498'}		Incidents of travel in Greece 	1839
EbnerEschenbach Marie von	B2620	{3142871}		{'uva.x000966281'}		The two countesses	1893
Williams Robert Folkestone	B8732	{4700454}		{'uc1.b4102869'}	{'In literature', 'Shakespeare in fiction, drama, poetry, etc', '1564-1616', 'Shakespeare, William'}	Shakespeare and his friends or The golden age of merry England	1838
Morrison Arthur	B5950	{9020483}		{'coo.31924013647411'}		The green eye of Goona stories	1905
Brock Carey Mrs	B1071	{9462590}		{'uva.x030808579'}		Sunday echoes in weekday hours  a tale illustrative of Scripture characters	1878
Rostand Edmond	B7172	{8378730}		{'umn.31951002024886x'}	{'Cyrano de Bergerac', '1619-1655', 'Drama'}	Cyrano de Bergerac	1898
Street G S George Slythe	B7699	{6771236}		{'uc2.ark+=13960=t5cc0z06v'}		The trials of the Bantocks	1900
Dilnot Frank	B2134	{6888150}		{'mdp.39015059449325'}	{'Journalism'}	The adventures of a newspaper man	1913
Lauder Thomas Dick Sir	B5143	{4441051}		{'mdp.39015005622868', 'mdp.39015005622876', 'mdp.39015005622959'}		Legendary tales of the Highlan	1841
Thanet Octave	B8134	{6836503}		{'nyp.33433076090640', 'uc2.ark+=13960=fk70v8b07w'}		Knitters in the sun	1887
Crowberry Daniel	B1842	{8991356}		{'uiuo.ark+=13960=t3xs61z24', 'uiuo.ark+=13960=t78s52g23', 'uiuo.ark+=13960=t8bg31516'}		North of the Tweed or Lorance Langton his life incidents and adventures in Scotland	1867
Yeats W B William Butler	B9007	{8978327}		{'njp.32101067487569'}	{'Drama'}	Where there is nothing	1903
Carroll Lewis	B2069	{3205344, 3176067}	{'Fantasy fiction', 'Short stories'}	{'mdp.49015002816925'}		Alices adventures under ground	1898
Smith Arthur Cosslett	B7758	{6797658, 6672051, 3168407}		{'uc2.ark+=13960=t9v11x82g'}		The turquoise cup and The desert	1910
Bilse Fritz Oswald	B882	{3178684}		{'uc2.ark+=13960=t2m61m06q'}	{'Herr', 'Germany', 'Military life'}	Life in a garrison town	1904
Hichens Robert Robert Smythe	B3477	{9458291, 6829390}		{'coo.31924013625730'}		The dweller on the threshold	1911
White Percy	B8435	{3184353}		{'coo.31924013237825'}		An averted marriage and other 	1910
Waugh Joseph Laing	B8778	{3199387}		{'uc2.ark+=13960=t3513wp0c'}		Betty Grier	1915
