bookid,selected_id,selected_review,genre
B5353,['8774312'],  the dari lady nf dunlin illlllmty ol lomym evol ix i jv the author of stories of waterloo loudon smith  mlder tins is a story ol singular power but thc materials even iu less able hands could scarcely tail to be elliclive cirace o malley half heroine half pirate the terror ot the western and southern seas who presented herself to llizabcth more as an equal than a subject a stern despot yet adored by ber vassals is the theme of many a wild tradition that may shame the boldest flights of fiction let those who haste to denounce her as a robber remember the names of frobisher drake and haleigh whose buccaneering deeds she only emulated in narrower limits and let them attribute ber unparalleled character to the unparalleled circumstances of her age the neglect of iiish history can alone account for the dark lady of doona having escaped from the researches of the many romance writers who have within the last twenty years hunted the worlds chronicles for exciting themes we are glad that the painting of her portrait was reserved for mr maxwell because he  has in his own nature a dash of her reckj liss spirit and cares as little for artificial rules as did his heroine for luglish laws i the story is all over irish  no country but  ireland unihi the tudors could have been the scene of the adventures described and  no one but a native of ireland could have i ventured to depict them criticism on such i u work would be as idle a reading the riot i ll r j donnybrook fairnot a sail would  leost aitiiitioii though hook places  ioiii f the happy niall whoso  le il s  he would go thirty illili s  t ki it amuses excites and  ii  iv know not why and we care eeroluv u itii tiis brief judgement is will pehap rest content  for verpexitig our brains fe half an liur not lind ono extract that would in our u du  tie to tne writer,biography_contra
B6261,['3197402'],  prince and rover of cloverfield farm written and illustrated by helen fuller owen 5s duckworth here is a secret that all good parents knowits not really necessary to provide sensational reading for little children they like just as much what grownups would call a peaceful monotonous tale about everyday things flowers and farms and horses well miss orton clever artist and narrator as she is enjoys full possession of the secret that so few authors and publishers know her simple very simple tale of prince the horse and rover the shepherds dog of their wisdom and their funny adventures will we doubt not have an enduring sale from the magic fishbone fred wedw alice rmonuno kate doueras wi ases 7 asn comns dcamsn from holidy koo am pubfished in z868,biography_contra
B1008,['8538998'],  sionedell lodge a novel by f s bird in three vols samuel tinsley and co plotting and perfidy in plenty misplaced affections and a general playing at cross purposes fill the orthodox two volumes and threequarters  the return of the rightful heir to the accompaniment of wedding bells all round occupies the remaining subdivision and so much may serve for summary of this stirring tale the hardened novel readers who yet retain affection for such very old friends as the long lost hero the mutilated marriage register the dispossessed heir a baronet of course and the discomfited villain will find all these ancient and familiar devices to enchain their interest in stonedell lodge and if in spite of all this and more for a siberian prison and an incidental murder are thrown in as extras their interest still refuses to be enchained we can only assure them of our intelligent sympathy,biography_contra
B1472,['6762463'],  japar tristram a story by a w clarke william heinemann 6s tjis which is one of the most unpleasant books we have read for a long time has the countervailing quality of cleverness and those who dislike such work we advertise at once of the fact that it is a study of a temerament jaspar is a born pariah he is precocious he is already a watcher of his own spiritual processes at an age when the male of man has as a rule hardly become conscious of his moi he is a worshipper of ideals as a saint may be but he clothes them in flesh and blood and supposes himself to discern them incarnate in his commonplace comrades but there is that in him which severs him perpetually from the object of his affections a shyness a selflove unhappily masked beneath a misplaced tactless humility he is clever he is goodlooking he is capable enough in the playingfields yet though he thirsts for affection and is ready to give himself away time after time to win it he is always solitary or at best the centre of a secondrate throng whoeven theylook upon him rather as a wonder than as a hero or a friend that is nothing to him he would refrain altogether from competition rather than expose himself to the ignominy of a good second and he reconciles himself but too quickly to failure for he scents the worthlessness of the prize even as it comes within his reach he must take refuge in his dreams against the sickening jar of actualityeven of actual success from the sheltering roof of his guardian a vulgar greedy parsonhe passes to the atmosphere of a large private school and there first he meets els who becomes at once his idol and his curse together they go later to a public school and together out into the world els from being the pet of boys 4nd masters develops into the carpetknight of society chivalry jaspar the wretched egoist in his pursuit of nita is no more fortunate than in his schooldays he had been in his efforts to win the affection of her brother what an awful crowd  he said  bow hot it is are you going anywhere   and as he uttered these commonplaces his clearcut tones appeared to him to have acquired a power of stabbing quite independent of what he meant while his eyes were ablaze with corn he could never remember what more either he or she had aid till at last be had heard her asking whats that youve got as she pointed to a handkerchief he held in his band  oh that   he cried and looked at it i found it the other day when i was turning over some old drawers i rather think its what they call a gauge damour but ive forgotten whose it was you dont happen to know by any chaxicep and he held it out oh she exclaimed why  and stopped i beg your pardon he said with elaborate pxliteness a what did you say   but she answered never a word for a moment he hesitated and then with a gesture of sudden fury tore it n two the sound of the tear seemed to him to symbolise the breaking of his heart and turning he disappeared in the crowd the story has but little incident to enliven it there are in it many faults of taste but there is no room for doubt that essentially it is true it seems to be one of those books of which every mans life affords him the material for one,biography_contra
B4017,['3180354'],  the garden of allah by robert ilichens 6s methuen no novel that mr hichens has vet written reaches such a high level as this he has chosen a great theme and handled it greatly the first book admirable as it is needs some condensing but that said nothing but praise remains to ay the garden of allah is the great desert of the sahara and thither travels domini enfilden who was tthirtytwo unmarried and in a singularly independentsome might have thought a singularly lonelysituation her father lord rens had recently died leaving domini who was his only child a large fortune and a past that was not altogether good to remember she is yearning to get away from all the world she has known and looks dimly to finding her soul in the loneliness of the desert and there her passionate prayer 0 god renew me give me power to feel keenly fiercely even though i suffer let me wake iet mc feel     is fully answered she meets in the glamorous little desert town with boris androvskv she had seen him in the train on her way there and been repelled but her aversion changes to love and he putting aside his shrinking shyness loves and wins her but there is a shadow between them he is fretted by a secret that he is hiding from her and when at last he confesses it out of her perfect love of him and his of her they rise to a lofty renunciation of self and are parted to the end of this life so that they may not be separated eternally in the next it is aogether a brilliant piece of work the central idea of the story is finely conceived and it is developed with an imaginative power and emotional intensvty that are bv wav of being rare indeed in modern fiction,biography_contra
B438,['6808135'],  the grey brethren and other fragments in prose and verse by michael fairless duckworth 2s 6d these posthumous fragments of the lady who wrote under the name of michael fairless very diverse in literary form are as the editor says united by a common and very winning personality throughout one feels the breath of a very gentle womanliness  steadfast and demure  in the miltonic sense of the latter now degenerate word and the unclamorous endeavour after the higher life they are only fragments in the sense of being heterogeneous in literary character brief and obviously incidental in their manner of production but all are quite complete in their slight kind though slender and unambitious they are written in a refined style which is the natural effluence of a refined personality and if not quite strong enough for all that is implied in the exacting term  distinguished the style has yet a touch of distinction such as comes from an habitual mental asceticism electing only the things of good repute with an earnest natural religiousness and a high ethical sense  michael fairless  combines a certain grace and sweetness of fancy in the fairy stories sometimes happily playful her imaginative faculty in the stricter sense of that variously used phrase is not strong but rather gentle and feminine in all she writes there is a pervading atmosphere of domesticity the sense of the home is never far from her as it is indeed the most native of womanly interests  the grey brethren which gives its title to the volume is a tenderly and reticently touched reminiscence of two maiden ladies with a certain dovelike shimmer of high quietude over it all  a german christmas eve  is a descriptive sketch of characteristic domestic charm  a christmas idyll is an imaginative fantasy full of fine ethical feeling and thoughtful religion it is the most ambitious of these papers but while it is never merely cheap it is subject to the remarks we have already made on the writers imaginative limits  luvly miss  is a sketch in quite another kind the simple record of a poor child dying from an accident and her devout worship of an altogether ridiculous doll but it is done with a true and unstudied pathos the story being allowed to tell itself the poems as a whole are the least successful work in the volume yet the  larks song  has a soul of simple joy with some not too remote kinship to blake and  spring  also has its freshness there is genuine feeling in these poems but an insufficient magic better in some respects best of all we think are the  four stories told to children in the fairy story michael fairlesss unforced fancy blends naturally with her moral earnestness yet there is no suspicion of the preachiness which children loathe  tinkletinkle  has a quiet and serious beauty discontented daffodils is very good of its kind and  the dreadful griffin for once shows the writer in a vein of genuine laughter and extravagance at play no child but would accompany the recital with delighted mirth it is a story altogether different from the horseplay and tasteless clowning with which wouldbe followers of lewis carroll have made children too familiar a story full of the simple fun which they love not the least of michael fairlesss qualities as a childs writer is this gift of simplicity she does not write down to the child but feels with it and that is nowadays rare in a sophisticated age,biography_contra
B7611,['9040671'],  peveril of the peak literary notices by the author of waverley c whatever the extent of the genius and invention of the author of  waverley we know not that it is a whit moro surprising than the singular aptitude with which he stimulates attention and the felicity of manoeuvre by which he tantalises curiosity we question if a committee formed pf lotteryoffice keepers and patent medicinevenders could exercise this species of ingenuity with more dexterity  good wine says the proverb  needs no bush but it is a homely proverb and altogether out of fashion especially in scotland the convenient incognito the baffling equivoque the insinuating rumour diffused in order to be contradictedall are employed upoju system and with the success which if usually received by those who descend to such expedients in their cultivation of the art of moneygetting of these we are weary however we may feel in respect to the works the popularity of which they are intended to enhance whatever the comparative excellence of the younger offspring or of one mental bantling with another it would be futile to deny that genius abounds in the meanest of them and that tn felicity of description portraiture tf manners and spiritedness of characteristic sketching this writer always prepares a pleasant repast if not an absolute banquet it is beginning to be suspected indeed that with all the merit of the caterer the feast is more showy than substantial as also that by a light and dexterous employment of garnish and sauces the same dish is served up in a variety of disguises as thia is unavoidable in all who write much we must not complain nf it in one of the most entertaining of defaulters  nor should we have been tempted to allude to it at all but for the enacting spirit of which we have been complaininga spirit that allows mammon to make sad work with the dignity of genius and the paltry feelings of clanship to prevail over all decent attention to kindred merit past present or to come the introductory chapter to  peveril is partly the cause of the foregoing observations r fbr although jest offensive in ita artificiality than that which preceded uihih exhibits enough of the same sort of management to inqeeae si portion of the disgust which this banter mala fide has begun to engender and which is not decreased by apcfception of thia fade which is the certain attendant of atttuattuj raillery it and irony possets great privileges bot after all tile jffpr a tax to which the lees sparkling ercke oityttfeciije jectedthey are edfcensuming and sepia associations which produce them in we cannot be anrjpoeed tobe unjust tp ley wfcysf jm  9mlma a jut to ssfbr   mt clutter ajeai raiadar panrftajsnasrria ia the present inatajace tfsey saqrtrjr ia fasgeaioaa aaawer lo a comirxmplace objection the ker doctor for instance finds fault with the adulteration of historical truth in the novel or romance to which the author with no smajl share of the ingenuity of the advoeau repiiee  author ft weald he vtry aahsasaiaif ia sat levfrtsad sir ts aaeasa a r satlsbbib af ywar ct ot af aaat hat pray it thara bat sosnetbing like it iatssrtrnbwwicb yea eutooe tue deafer  i aver ea though caawaj that hr iatrodeetaf the sssnd tb yaethfal tu  truths severe ia fairy fietioa dreamed 1 an doing s real service ta the sears ingeotoos sad the asars apt among them for tbe tata f iaowledge wasts bot a begiaatngthe least spark wjll give fire when the train is properly prepared  asd baring been interested ia flctftioas adveatbres ascribed to a histories i period sod characters the reade bcglos next to be anxious to learn what the facts really were aad bow tm tao aovelist has justly represented thess  bat evea where the mind of the atora careless render remains satisfied with tee light aefesal he has afforded to a tale of lotion he will still lay dows the book with a dogreo of knowledge sot perhaps of tao wost secants kind hat soch as bo night not otherwise have acquired nar is this limited to rsttnds af a low aad iasarioas description hot ob the contra rr comprehends man j persons otherwise of high talents who nevertheless either from lack of tine or of perseverance are willing to sit down contented with the slight information which is acqaired in such a manner the great duke of marlboroagb for example having quoted is seaversatiob sons fact af english history rather inaccurate wns rtqaested to aaost his aathority  shakespeares historical plays answered though oaqneror of blenheim tbs only english history 1 ever read ia ny life aad a hasty recollection will convince any of as haw mock better we are sequaioted with those parts of english history which toot tatnertal hard bas dramatised than with sy other nordon of british ssw thia is ingenious and might pass were not the licence liable to be made subservient to the perversion of party spirit and to supply aa ajnsost irresistible temptation to libel and raisrepraaaatatjon at secondhand we fear there ia something of the kind always perceptible in the productions of this fertile anther ansi certainly  peveril forms no exception but as though hxrhfa nf f preasjiay atieaat concoct all aorta of religieui action with similar bad faith they must even take thwowii rarta we cannot ao readily pardon the writer who in pating the headlong partisans of royalty contrives to make tba bernie the soundhearted and the generous the eternal burden of the song and to depict even the noblest exertions in defence of civil and religious liberty aa the result either nsf a morbid enthusiasm or of a calculating and iate rested sjribition peveril of the peak like most of the authors previews works claims little or ho merit as a story in another respect too it bas the fault of its precedessorsthe hero and heroine are a brace ef nobodies the story opens at thc restoration when flourished sir geoffrey peveril who claimed hie descent from the bastard of a bastardy that is to  say from william peveril a natural son of the conqueror i of this descent and the posseasion of the peak the gift 1 of hts norman sire to hie ancestor the wortsvy knight a free  hearted but somewhat thickheaded countrygentleman is i exceedingly proud and his notions of loyalty are exactly those which m achille jouffroy has recently so freely imparted to m montmorency he has a neighbour a confirm yet moderated roundhead who during the parliamentary c tsceadanct jud ptesefred by his influence the estates of tte  ta4temger r fer chnmsmom tte alie of the baw tle knight tea t f visa mm in aa ejection fer each ocher alter a moree  3   of tte 1 h4e is na tbl kare of tte story ia othenrte i gfiiy   dwby who an ra i tm tteadad ste hh t mtial heroine ia cst  jl   hteb eecamd lasyjamasuaa liailate ftai yggeassasa yifitsta w monarch chadee ii drydens ffimri the aecond dake af buckingham the duke of ormond col blood titus oat dangerfield scrorjgs and that most neceasarjr officer tri tko court of charles chiifiach his most sacred mapwipia ordinary and lastly geoffrey hudson the celebrated dwarf are all introduced with more or less feliofy charles we think with very little buckingham with coiiaiderabie apirit and poor geoffrey hudson with dwarfish verisimilitude aa to possible attributes but with little or none sk to historical truththe little hero is much injured 0f the creations of the author sir geoffrey peveril is a good portrait of the hospitable but despotic country gentleman of hia day abounding in feudal prejudices and a plentiful lack of brains his puritanic neighbour major bridgnorth is but so io and he somewhat unaccountably diverges from a calm man of sense into a gloomy fanatic without a sufficiency of predisposing canse for the alteration the countess of derby is raised from the dead to little purpose except to give motive to a most inexplicable villain of the name of christian whose brother she had executed for treason in her petty sovereignty of man attention is exceedingly roused by this character but it is entirely in the excitation of a curiosity by a species of unaccountable versatility which is very poorly accounted for the hero julian peveril we have already said is nobody  and his counterpart alice however lovely in description is in action nothing at all and is this ailby no means for how could the author of  waverley dispense with the agency of a something mysterious and fantastic  in the present instance the personification is peculiarly grotesque the intriguer christian has a natural daughter by a moorish female whom if we un derstand the story fright he disposes of in her infancy to a dutch tumbler but afterwards redeems on a supposition of making her useful to his purposes this girl ie ted to hekere that his executed brother is her father and in eon sequence is induced to counterfeit deafness and dumbness in which supposed state she is received as a sort of elfin attendant on the countess of derby whose destruction is sought and whose most secret intentions she thereby gets at without suspicion this feasible scheme is however defeated by her imbibing an uncontrollable penchant for julian peveril who being related to the countess ia brought up with her son the young earl of derby and in consequence thrown in the way of this mysterious attendant when therefore he is induced to take some dangerous packets to the catholic friends of the countess during the ferment created by the popish plot she attends him from time to time as a kind of esprit follet until at length we find her a woman of wit speech and spirit although doomed to love in vain and to intrigue to no purpose either for her father or herself the dark moorish yet piquant aspect the slight symmetrical person profusion of dark hair and almost supernatural agility from her education in the tumbling line altogether make up a perfect nondescript and we fear not a very happy one the general conception approaches to j extravagance and the action assigned to it is almost ridiculous only think ladies of a girt agreeing to act deafness pand dumbness for several years and to be pitied and durwarded m such by the man she adored i eran in romance there should be some verisimilitude  upon the whole we think that  peveril and  nigel jjnjr rank pea on a par although charles ii falls tar tefamd jamesil in happiness of portraiture and tte etory tlla the conclusion in particularis esylaine t miserably   are describe with vri tairiiireemn  blkaaa   rn   nepo woramppera of mttmbojambo might gita a netter reason for the faith which is in them we need not say that the happiest portion of the art of the author of  waverley consists in an offhand species of dramatic sketching the following etching of a levee of the whimsical bucwngham although a little in caricature appears to us the moat extractable portion of the book and therefore with it we will close our article lt was long past noan  and tba usual hour of the dukes leveeif any thing could ba termed usual where all was irregularhad been long psst his hall was filled with lackeys and footmen in the most iplfndtd liveries tba interior apartments with the gentlemen and pages f his household arrayed as persons of the first quality and in that reipect rather exceeding than falling short ofthe duke in personal splenlour but his antichamber in particular might be compared to a ratberine of eagles ta tba slaughter were not the simile too dignified to ix press that vile race who hy a hundred devices all tending to one jodi moa end live upon the wants of needy greatness or administer to the pleasures of summerteeming luxury or stimulate the wild wishes of lavish iud wssteful extravagant by devising new modes and fresh motives of profusion there stood the projector with his mysterious brow prorising unbounded wealth to whensoever night choose to furnish the small ireliminary sun necessary to change eggshells into the greatest arcanum here was captain seagull undertaker for a foreign settlement with a isp nader his arn af indian or american kingdoms beautiful as the printie eden waiting the bold occupants for whom a generous patron hold equip two brigantines and a flyboat thither came fast and frequent the gamesters in their different forms and calling this light rou uk fray in appearance and thoughtless youth of wit and pleasurehe pigeon rather than the rookbut at heart the same sly shrewd coldblooded calculator as yonder old hardfeatured professor of the same science whose eyes are grown dim with watching the dice ut midnight and vbose fingers are even now assisting his mental computation of chances iud of odds the fine arts too1 would it were otherwisehare their professor amongst this sordid train the poor poet half ashamed in ipite of habit ofthe part which he is about to perform and abashed by consciousness at once of bia base motive and his shabby black croat hirks i yonder corner for the favourable moment to offer iiis dedication much etter atti rf d the architect presents his splendid vision of front and liogs and designs a palace the expense of which may transfer the em  toyer to a jail bat uppermost of all the favourite musicianor singer rho waits on my lord to receive in solid gold the value of the dulcet triads which solaced the banquet of the preceding evening u socb and many loch like were tte morning attendants of the duke if buckinghamall genuine descendants of the daughter of the horseleech whose cry is give give  bat the itvee of his grace contained other aad very different chanlers j and wat indeed as various at his owij opinions and pursuits bernes many of the yoong nobility and wealthy gentry of england who uade bis greee the glass at which they dressed themselves for the day ed who learned from him bow to travel with the newest and best grace f0erml m to ni lre were oters  a graver characterdis  arded statesmen political tpiet opposition orators servile tools of aduistratjon men who met not elsewhere but who regarded the dnket lansioni as a sort ef neutral groaad sure that if he was not of their opilon today the very circumstance rendered it most likely he shoeld think th them te morrow the pnritsos themselves did not shun intercoorte wnnimrboatahli must have rendered him formidable even if hey bad aot been aaited with high rank aid an immense fortuna several grare personages with black soils short cloaks and banditries 0f a formal cat were ming led aa we tee their portraits in a gallery of paintjagt atjoag the galasts who raffed in ailk aad embroidery ll it true iney caped the scandal nf being tappoted iatimatrt of the doke by wir bosieess bat ag supposed te refer to money matters whether these pre aod professing citizens mixed politics wkh monty deeding was not aoowa kat ft had keea lean observed that the jews who ia general 2iti f1 te tke latter department had become for tome time fafcfu atteadanu at the dikes levee  k wlli hblw jn the aatiehamber and had keea aa for more than auhoar ere the dektt gentleman in ordinary ventured into bit bed luli9hjderlweewf to at to make midnight at noondty to z  ro his oatt ead serene wfiitper io tfkich he mw wisher it were kb oraee r nleaaareterite u it jmiagttta paw ont gai tba attanfent  b le ona after iamb  tta rn m     rn vuifcrt  js111111 n e was briefly md swuir rwbalsvsiek  twit 1 a1 mm mt vmh whfcwrt t tiff m wk aaa th ftf   waatf faatftte 2zll mta eu j let him ride te the devil ve ids versa af nie aa saasa is own aay bseee  the whole antichamber is full ny lordkalgan aad squires wee tors and dicers tbe dicers with the doctors in their packets i presume tl l coants captains aad clergy nae    you ara alliterative jerninghan said the dafte  aad that ia a proof you ara poetical hand me my writing things  getting half ant af bedthrusting oat ara iato a brocade nightgows deeply furred with sables and one foot iato a velvet hpper while ilia other pressed in prinitiva nudity the rich carpet4is grace without thinking farther on tba assenhly without began to pen a few hoes of a satirical poem  then suddenly stoppedthrew the pea into the chimney exclaimed that the humour waa eastaad asked us attendant if there were any letters jeraingham prod need a hage packet  what the devil said his grace  do you think 1 will read all these  i bm like clarence who asked a cup af wine and was soused into a hutt of sack 1 mean is there any thing which presses    this letter your grace said jerningbani  concerning the yorkshire mortgage   did i not bid thee carry it to old gatheral my steward  ldid my lord answered the other hut gatheral saya there are difficulties let the usurers foreclose thenthere ls no difficulty in that aad out of a hundred manors 1 shall scarce miss one answered the peke  and hark ye bring me my chocolate   nay my lord gatheral does not say il is impossibleonly difficult     and what is the use of him if he cannot make it easy  bat you are all born to make difficulties rejriied the duke 41  nay if your grace approves the terns ia this schedule and pleases to sign it gatheral will undertake for the matter answered jerningham   and could you not have said so at first you blockhead said the duke signing the paper without looking at the contents1 what aether letters  and remember i must he plagued with no more business   billets doux my lordfive or six of them this left at the porters lodge by a vizard mask psha answered the duke tossing theet over while hit attendant assisted in dressing himau acquaintance off quarters standtag   this given to one ofthe pages by my lafy s waiting wetnea plague oa ita jereniade on thesuhjsjtj of perjury aud treachery and not a single new line to the old tune9 said the duke glancing ever the billet  here is the old cantcruel manbroken corotffaatfon just revenge why tba woman is thinking of murdernot of love no one should pretend ta write upon so threadbare a topic without having at least some novelty of expression the despairing a rantin talm there fair desperate and thishow comes it   flung into the window of the hall hy a fellow wha ran ef at fall speed answered jerningham  this is a better text said the dake   aad yet it is an aid obs too three weeks old at leastthe little gmo tess with the jealous lord should not care a farthing for herttave for that sane jealeas rorewplagne ont and hes gone down to thar countrythis maisg silence and safetywritten with a quill pulled from the wing of coioyour lady ship has left him pen feathers enough to fly away withbetter eltpaed his wings when you hod caught him ny ladyand sa confidant af her buckinghams faithi hate confidence ia a young persoashe nus be taught betteri will aol go   your grace will not be so er bel said jerningham  thou art a compassionate fellow jerningbem but conceit nut ha punished   but if your lordship should resans your fancy for her v   why then you must swear the billet doax miscarried answered the duke  and stay a thought strikes neit shall miscarry ia great style hark yelswhat is the fellows aanethe poet ls ha reader   there are six sreatlenen sir who from the roans of paper ia their pockets and the threadbare seana at their elbows appear la wear the livery of the mases poetical once nore jeraiogbaai ha 1 bseae wha wrote tba last lampoon aaid the duke 44  ta whan your grace said yea awed ire pieces aad a beating replied jeroiagbaip   the noney for his satire ead the cadge far uh ptalsb iqm i find hin give hin the ive peens aad taraat the caatesss wtwhstex holdtake arandales and the rest af than twasc then tilisae bi portfolioaji win come out at the wits9 cwsa howse t ami ff the ast nalgater be nat cedaelled fate all the eesesjrs er the reiavaw thara h pu spite ia wanan aa faith ia crabtree er pit la heart af nskswstaajrs wmth ales we evrrtart bot ny urdbskt said hetstnn thfctatsif   ws rascal that aathiajr ha aaa write will lake9 m     a  thea as we leva givsa bin stael xjzj li udi  we will give maa whigs n wait lt awatesssjtfa air ft sa mst mp  wetd4kvit te yan hlaekkatal have yan lived withmnee leaf aad cannot dtseorer that tlmeelatay aa ieuig wiik ate  alt the rea e   saasdkaak,biography_contra
B4289,['9469373'],  skirmishing by the author of cousin stella smith elder  co skirmishing is not a very attractive title but it serves as the portal to avery charming story the incidents are slight indicated rather than detailed the scene is only a secluded village in the depth of the country without even a markettown or a railway in the neighbourhood but the characters are all human beings their sayings and doings are spirited and characteristic and the whole story rouses the readers thorough sympathy there is a rector an excellent sensible kindhearted man well to do in the worldhis wife a handsome bright prosperous woman french by her mothers side but with a thorough english sense of respectability and a horror of doing anything likely to incur blame or ridicule she is not unmerciful nor unwilling to help people in trouble or suffering  but she had always a piivate belief that it was on the whole peoples own doing her mother madame lescrimiere is the perfection of an old lady she is charming she too is halffrench but her nature is quite different from her daughters she bas a breadth and depth of sympathy a pity and forgiveness which it were heartily to be wished were more common the misery and the anguish always hid from her the fault if fault there were she is witty graceful gracious and wilful to a degree that must captivate the reader though no doubt it occasionally drove her daughter to distraction then there is her granddaughter maud a charming english girl engaged to her fathers curate who as he has won her affection must we are willing to believe have had some good qualities  but so far as his appearance in this story is concerned he ia entirely detestable it is wonderful how seldom young curates in stories at least are anything else he cannot understand madame lescrimiere at all he feels her atrial and  a trial for which he was not at all thankful there was something about her which he qualified to himself as disorder she hated routine never would receive any notion on authority and  would insist on discussing its reasonableness and credibility a certain mrs brown takes an old house long untenanted her whole household consisting only of a son and an old german servant to the horror the scandal and the disappointed curiosity ot the whole village she does not appear at church madame lescrimiere boldly stands up for her and insists upon her being received within the pale here is her mode of  skirmishing   oh my dear curate she said waving ber hand  i know what you are going to say perfectly well i dont deny your reasonsonly allow that i am reasonable also when i beg you to remember that there were christiansexcellent the best of christiansbefore they had any church to go to ah you dont forget i am sure that the jewb and pagans persecuted and despised them for not going to thiir temples now dont all of you look as though i deserved to be packed up between two faggots but listen to a story the dear old ladys motto up to which she always acted was  never repent of a kind action however it turns out for yourself the browns ave visited by the rector and his wife we shall not forestall the readers interest in this charming story by unveiling the sad mystery which overclouds mrs brown and that has obliged her to try and hide herself from the world her story is well indicated but the tale turns rather on the complication of village politics than on mrs browns antecedents although madame lescrimiere seems at one time to have got the respected rectory family into a scrape she is in the end triumphantly vindicated the little cloud of misunderstanding and gentle scandal in which the stiff and reserved young curate finds himself innocently involved teaches him a lesson of charity towards others of which he stood greatly in need mrs brown herself and poor georgy give bubstance to the interest of the story and form the centre round which all revolves the story is graceful and charming for the skill with which the slight incidents are narrated as well as the sweet broad loving charity of heart that is inculcated,biography_contra
B1403,['8980812'],  the ht lautcru le imtoilet or thc i rirtttcei by 1 feniinore cooper ksq  vols bentley iiimowini out the fantastical superstition which ascribes epecial virtues to certain numbers or even worliimit though aiulooy f the seventh wave xxliicli scashore gosips tt i us is ainlor and stronger than its pr ik ccsiois the so vi nth seanovel of mr coopers ought to bo the most remarkable of the series for force brilliancy ami movement not so thehick olantern though sliip be distinct from ship and the character which are the salt of ii crew the lt li vtol holts ami though toni collins be marked by humours as widely littering as the musical jiatois of the uixa dei schiavoni from the uncouth jargon of a west lulian port xve max perhaps be permitted to question though assertion so unhesitatingly made by mr coiiper in his preface that this class of xvorks of fiction is inexhaustible at least wo are sure that the dotail of marine luaincuvres in this novel is a little prosy and that the narrative of the chase to which as usual i large part of the present story is devoted does not make heart beat iind blond riseas though earliest of those by xxliicli mr imper won his postcaptaincy among the novelist the scene ofthe tale is klba and though italian coast  the time caracciolis execution  and once again xxe have nelson and his enchantress served upthis time xery coldly they however aro not the principal figures raoul yvanl the hero is though beautiful clever dashing fellow wlioin mi cooper loxes to put on board a craft of almost impossible perfection he is moreover a frenchmananl a dillo it is because of his infidelity that chita curaecioli though earnest intelligent nliioiis italian heroine refuses to marry him though  ie loxes bim well and hence loads him though chace which li the three xoluincs with adventure this invention is forced and im probable neither is hamils bead man i th ucl bolt the american equal to foruer seafamiliars whom mr cooper hasohserxed and paiated the worthies of porto forrajo too arc sonioixhat tedious and the british seamen in  lrorriiic are sketchy  except pelhaps pool drunken tenderhearted clinch in xvhose good conduct wo became uneasily interested we regret mr cooper docs not alford in au opportunity for indulging in extract thc catastrophe of though book is its most impressive portion but to quote it or to describe its incidents xvould bo to nip in though bud though novel readers pleasure,biography_contra
B2588,['8527240'],  a great emergency and oilier tales by7 juliana ewing g bell and sonsthis is a volume ot bright little stories the first of which is the best the boy in whose person it is written is very like a real boy and his experiences will recall many memories of private schoollife there always was sunshine when we playred cricket the hotter it was the better we liked it we had a bottle of lemonkali powder on the ground and i used to have to make fizzingcup in a tin mug for the other boys i got the water from the canal lemonkali is delicious on a very hot dayso refreshing  but i sometimes fancied i felt a little sick afterwards if i had had a great deal the most interesting part of the story however is that which relates how the hero setting out to seek adventures and fortune was taken care of and brought safely back by a wise old bargeman and arrived at home just in time to miss taking part in the one great emergency that befell the family who were ali constantly on the lookout for opportunities of displaying presence of mind the other stories in the volume if their moral purpose is a little too obvious are at least free from any morbid cant and written with truth and liveliness,biography_contra
