"history"					
"love stories"					
"legends"					
"fairy tales"					
"folklore"					
"domestic fiction"					
"novel"					
"autobiography"					
"biography"					
"adventure stories"					
"utopias"					
"war stories"					
"mystery and detective fiction"	"mystery fiction"	"detective and mystery stories"			
"western stories"	"frontier and pioneer life"				
"imaginary voyages"	"voyages, imaginary"				
"sea stories"	"shipwrecks"	"shipwreck survival"	"seafaring life"	"castaways"	"robinsonades"
"ghost stories"	"ghosts"				
"short stories"					
"historical fiction"					
"tales"					
"humor"	"humorous stories"	"english wit and humor"	"american wit and humor"	"humorous fiction"	"canadian wit and humor"
"man-woman relationships"					
"anecdotes"					
"romances (as defined in titles)"					
"juvenile fiction"					
