author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Maxwell W H William Hamilton	B5353	{8774312}		{'njp.32101065836353'}		The dark lady of Doona	1834
Orton Helen Fuller	B6261	{3197402}	{'Juvenile audience'}	{'mdp.39076002155484'}	{'Horses', 'Juvenile fiction', 'Farm life', 'Dogs'}	Prince and Rover of Cloverfield farm	1921
Bird Frederick Spencer	B1008	{8538998}		{'uiuo.ark+=13960=t06w9ms37', 'uiuo.ark+=13960=t4vh5t775', 'uiuo.ark+=13960=t11n8c67k'}		Stonedell Lodge	1885
Clarke A W	B1472	{6762463}		{'nnc1.1002266326'}		Jaspar Tristram  a story	1899
Hichens Robert	B4017	{3180354}	{'Novel'}	{'mdp.49015002772011'}		The garden of Allah	1904
Barber Margaret Fairless	B438	{6808135}		{'mdp.39015063914835'}		The grey brethren and other fragments in prose and verse	1901
Scott Walter Sir	B7611	{9040671}	{'Bibliographies', 'Novel'}	{'uc1.b3331970', 'uc1.b3331971'}	{'France', 'Charles II, 1660-1685', 'Louis XI, 1461-1483', 'Great Britain', 'History'}	Peveril of the peak	1823
Jenkin C Camilla	B4289	{9469373}	{'Juvenile audience'}	{'nyp.33433074867122'}	{'English fiction'}	Skirmishing	1863
Cooper James Fenimore	B1403	{8980812}		{'mdp.39015063548153'}		The Jack olantern Le Feufollet or The privateer	1843
Ewing Juliana Horatia Gatty	B2588	{8527240}	{'Juvenile audience'}	{'nyp.33433082533807'}	"{""Children's stories, English""}"	A great emergency and other ta	1885
Nason Frank Lewis	B6141	{8878612}		{'uc1.b3326185'}		The Blue Goose	1903
Eccott W J	B2600	{3201290}		{'uc2.ark+=13960=t28913n40'}		The mercenary	1913
Sangster Margaret Elizabeth Munson	B7723	{8864697}		{'uc2.ark+=13960=t72v2cv3x'}		Janet Ward	1902
Bates Arlo	B414	{8854717}		{'mdp.39015062258986'}		A wheel of fire	1889
Fuller Anna	B2940	{6770460}		{'mdp.39015048960523'}		Pratt portraits sketched in a 	1897
Campbell J F John Francis	B1655	{4350456, 4357873, 5022618, 8536659, 9445873}		{'uc1.$b296662'}	{'Translations into English', 'Highlands', 'Scottish Gaelic literature', 'Scotland', 'English literature', 'Translations from Gaelic', 'Tales, Gaelic', 'Folklore'}	Popular tales of the west High	1860
Schwacofer Mary A	B7870	{6851661}	{'Juvenile literature', 'Juvenile audience', 'Imaginary voyages'}	{'mdp.39015078556399'}		The life and adventures of Rob	1908
Benson E F Edward Frederick	B613	{8904892, 6836559}		{'nyp.33433074926720'}		Account rendered	1911
McCutcheon George Barr	B5762	{8877179}		{'uc2.ark+=13960=t5p847f68'}		Castle Craneycrow	1902
Glasgow Ellen Anderson Gholson	B3004	{8955524}		{'mdp.39015003940882'}		The miller of Old Church	1911
Home George	B4105	{4702381}		{'hvd.hw21b8'}		Memoirs of an aristocrat and r	1838
Pullen Henry William	B6635	{2716209}		{'uc2.ark+=13960=t00z74c34'}		The fight at Dame Europas scho	1871
Gaskell Elizabeth Cleghorn	B2967	{4373322}	{'Novel', 'Bibliographies', 'Bildungsromane', 'Domestic fiction', 'Love stories'}	{'dul1.ark+=13960=t5r792w66', 'dul1.ark+=13960=t6d22nv15', 'pst.000028738046'}	{'Women', 'Binder', 'Fiction in English, 1837-1900 Texts', 'England', 'Young women', 'Bayntun', 'Social life and customs', 'Fathers and daughters', 'Social conditions', 'Children of physicians', 'Stepfamilies'}	Wives and daughters	1865
Arami	B213	{6194487}		{'uiuo.ark+=13960=t5db8b07w', 'uiuo.ark+=13960=t6qz2ht7q'}		Cathal More or selflove and se	1852
Verne Jules	B8422	{8528816}		{'nyp.33433075842546'}		Michael Strogoff the courier o	1891
Goldschmidt Meïr	B3453	{4845559}		{'njp.32101061919559', 'njp.32101061919542', 'njp.32101061919567'}		Jacob Bendixen the Jew adapted	1852
Sterne Laurence	B7340	{6244581}	{'Typefaces (Type evidence)', 'Limitation statements (Publishing)', 'Baskerville'}	{'mdp.39015011482679'}	{'Social life and customs', 'Sterne, Laurence', '1713-1768'}	A sentimental journey	1768
Ward Wilfrid Mrs	B8822	{3198399}		{'uc2.ark+=13960=t8qb9x81m'}		Horace Blake	1913
Benson E F Edward Frederick	B356	{9042717, 6824637}		{'mdp.39015012076645'}		The house of defence	1906
Marryat Frederick	B5678	{6107380}		{'uc2.ark+=13960=t29887w0g', 'uc2.ark+=13960=t6ww7df79', 'uc2.ark+=13960=t17m08s21'}	{'English fiction'}	The kings own	1830
Beauclerk Caroline Frederica	B582	{8781385, 4696693}		{'nyp.33433074833041'}	{'American fiction'}	Tales of fashion and reality	1836
Hichens Robert Robert Smythe	B4161	{9074777, 6846798}		{'coo.31924064995487', 'coo.31924013625797'}		The fruitful vine a novel	1911
Antrobus Suzanne	B156	{9282261}		{'uc2.ark+=13960=t3mw2b12g'}		The Kings messenger	1902
Burns Robert	B1151	{4704411, 5838228, 5805795}		{'hvd.hwj9y3'}		The prose works of Robert Burn	1796
Defoe Daniel	B2210	{4985326}		{'nyp.33433074909908'}	{'English fiction'}	The novels and miscellaneous works of Daniel De Foe 	1731
Schefer Leopold	B7917	{9153883}		{'mdp.39015018060106'}		The artists married life  bein	1848
Holland J G Josiah Gilbert	B4169	{8650109}		{'uc1.$b809229'}		Miss Gilberts career  an Ameri	1860
Ainsworth William Harrison	B124	{3153973}	{'Bibliographies'}	{'uc1.$b567299', 'uc1.$b567300'}	{'1537-1554', 'Grey, Jane', 'Lady'}	The Tower of London	1882
Glyn Elinor	B3358	{9012167}	{'Love stories'}	{'nyp.33433074864533'}		Beyond the rocks a love story	1906
Lagerlöf Selma	B4719	{6756032, 8978625, 6810707, 3171046}	{'Bibliographies'}	{'mdp.39015005188720', 'mdp.39015005190114'}		Gösta Berlings saga	1918
Young Francis Brett	B9000	{2455859}		{'mdp.39015030113719'}		My brother Jonathan	1928
Braddon M E Mary Elizabeth	B331	{9447034}		{'inu.39000002550999', 'inu.39000002551005', 'inu.39000002551013'}		The doctors wife	1864
Blake Margaret	B718	{9091109}		{'nyp.33433076044100'}		Matthew Ferguson	1914
Dixon Thomas	B2499	{3227700}		{'uva.x000467527'}		The leopards spots  a romance 	1902
Hart Joseph C	B4112	{8210416, 4709084}		{'mdp.39015063870144', 'mdp.39015068351090'}		Miriam Coffin  or The whalefis	1835
Leon Derrick	B4749	{3248779}		{'mdp.39015063921277'}		Livingstones	1933
Bell J J John Joy	B477	{9050594}		{'njp.32101064787433'}		A kingdom of dreams	1911
