category	size	contrastsize	meanposdate	meannegdate
britain	169	8802	1883.189349112426	1883.189349112426
northamerica	199	8742	1890.5276381909548	1890.5226130653266
englishfiction	479	8461	1881.8	1881.8
stories	273	8667	1896.365	1896.35
biography	175	8790	1873.4171428571428	1873.56
random	0	8940	1890.09	1890.09
history	254	8699	1881.283422459893	1881.283422459893
novel	304	8636	1886.18	1886.18
romance	155	8830	1890.058064516129	1890.058064516129
juvenile	262	8678	1876.51	1876.49
folklore	140	8860	1890.7428571428572	1890.7428571428572
social	135	8870	1884.525925925926	1884.525925925926
war	158	8824	1894.993670886076	1894.9746835443038
unmarked	6019	2921	1893.445	1893.425
