author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Buchan John	B641	{3176433}		{'nyp.33433074930953'}	{'English fiction'}	A lodge in the wilderness	
James G P R George Payne Rainsford	B4230	{8303104}		{'mdp.39015030051570', 'mdp.39015030051588', 'mdp.39015030051562'}	{'English fiction', '823J23GI1835'}	The gipsy  a tale	
Kaye John William Sir	B4543	{8742843}		{'nyp.33433074864236', 'nyp.33433074864244'}	{'English fiction'}	Jerningham a story	
Dorling H Taprell Henry Taprell	B2185	{3210198}		{'nyp.33433006779528'}	{'English fiction', 'Seafaring life'}	Sea spray and spindrift naval 	
Linton E Lynn Elizabeth Lynn	B4847	{8846150}		{'nyp.33433074888953'}	{'English fiction'}	Dulcie Everton	
Nevinson Henry Woodd	B6153	{9420680, 3157947}		{'uc2.ark+=13960=t4mk66n70'}	{'English fiction'}	Between the acts	
Yonge Charlotte M Charlotte Mary	B8996	{8522102}		{'coo.31924065002291', 'nyp.33433075861777'}	{'English fiction'}	The pillars of the house or Under wode under rode	
MacDonald George	B5395	{9429916}		{'nyp.33433074875745'}	{'Scottish authors', 'English fiction'}	The portent a story of the inner vision of the Highlanders commonly called the second sight	
Drew Catharine Mrs	B2245	{8544760}		{'nyp.33433074968508'}	{'English fiction'}	The lutaniste of St Jacobis a 	
Trollope Anthony	B8017	{8538348}		{'inu.30000005353572'}	{'English fiction'}	The dukes children	
Hogg James	B3510	{5143168, 5156813}		{'mdp.39015006945060', 'mdp.39015006945078'}	{'Scottish authors', 'English fiction'}	Winter evening tales collected among the cottagers in the South of Scotland	
Gore Catherine Grace Frances Mrs	B3124	{5844799}		{'nyp.33433074863956'}	{'English fiction'}	Agathonia  a romance	
Oppenheim E Phillips Edward Phillips	B6305	{8877573, 3181334}		{'nyp.33433075748818'}	{'English fiction'}	The survivor	
Brown John	B893	{8455460, 8744462}		{'uc2.ark+=13960=t37081f1j'}	{'Scottish authors', 'Biography', 'Legends and stories', 'Anecdotes', 'Dogs', 'English fiction'}	Rab and his friends	
Horlick Jittie	B3724	{6866939}		{'nyp.33433074876412'}	{'English fiction'}	Jewels in brass	
Carey Rosa Nouchette	B1473	{8667647}		{'nyp.33433034410054'}	{'English fiction'}	Nellies memories a domestic story	
Fothergill Jessie	B2881	{8533797}		{'uc2.ark+=13960=t9n29rq18'}	{'English fiction'}	The first violin	
Bateman May Geraldine Frances	B667	{3171634, 6661742}		{'nyp.33433074937347'}	{'English fiction'}	The altar of life	
Williamson William Henry	B8636	{6849440, 8920990}		{'nyp.33433075772578'}	{'English fiction'}	The princes marriage	
Annesley Maude	B89	{8923812, 6827213}		{'nyp.33433074947817'}	{'English fiction'}	The wine of life	
Merrick Leonard	B5472	{6758487, 8974983}		{'nyp.33433074897053'}	{'English fiction'}	One mans view	
Hook Theodore Edward	B3807	{8696789}		{'uc1.b3123836', 'uc1.b3123837', 'uc1.b3123838'}	{'English fiction', '823H76P1833'}	The parsons daughter	
Carey Rosa Nouchette	B1528	{9284981}		{'nyp.33433074935465'}	{'English fiction'}	The household of Peter  a novel	
Matheson Charlotte Mary	B5431	{3190563}		{'nyp.33433074892542'}	{'English fiction'}	The generation between	
Ward Mary Augusta	B8767	{6836603}		{'uc2.ark+=13960=t1zc80754'}	{'English fiction'}	The case of Richard Meynell	
Grattan Thomas Colley	B3078	{8878079}		{'njp.32101069166229', 'uc1.b3322551'}	{'English fiction'}	Highways and byways or Tales of the roadside  picked up in the French provinces	
Brown Vincent	B637	{8894240, 3185049}		{'nyp.33433074930763'}	{'English fiction'}	A magdalens husband	
Lockhart J G John Gibson	B4754	{5781119}		{'mdp.39015063938784'}	{'Scottish authors', 'English fiction'}	The history of Matthew Wald	
Moore George	B5860	{3163024, 6766105, 6797323, 3451157, 8842702}		{'uva.x001770566', 'uva.x001770565'}	{'English fiction'}	Evelyn Innes	
Macdonald Diana Louisa	B5399	{9168853}		{'nyp.33433074875968'}	{'English fiction', '1452-1519', 'Leonardo', 'da Vinci'}	Villa Verocchio or The youth of Leonardo da Vinci A tale	
Heddle Ethel F	B3661	{6768566}		{'nyp.33433074853080'}	{'English fiction'}	A mystery of St Rules	
Howitt William	B3935	{8964993, 5007540}		{'uc2.ark+=13960=t6vx0c40v'}	{'English fiction'}	Tallangetta the squatters home	
Warden Florence	B8787	{3177856, 9431278}		{'uc2.ark+=13960=t49p2xq98'}	{'English fiction'}	The dazzling Miss Davison	
Collins Wilkie	B1466	{8469993}	{'Romantic suspense novels', 'Mystery and detective fiction', 'Bibliographies', 'Great Britain'}	{'uiuo.ark+=13960=t0zp4bq6b', 'njp.32101068581576', 'uiuo.ark+=13960=t5bc48x1g'}	{'Country homes', 'Psychiatric hospital patients', 'Art teachers', 'Nobility', '19th century', '823C69W1860', 'Deception', 'English fiction', 'Social life and customs', 'Inheritance and succession'}	The woman in white	
Peard Frances Mary	B6536	{3148852, 6766446, 8851887}		{'nyp.33433075765838'}	{'English fiction'}	Donna Teresa	
Mathew Frank James	B5867	{3171369}		{'uva.x030741572'}	{'English fiction'}	At the rising of the moon  Irish stories and studies	
Penny F E Fanny Emily	B6533	{6786982}		{'nyp.33433075765598'}	{'English fiction'}	The teaplanter	
pseud Mee Huan	B9131	{8865055}		{'nyp.33433074890504'}	{'English fiction'}	A diplomatic woman	
Hunt Violet	B3711	{8936554}		{'nyp.33433074871926'}	{'English fiction'}	The wife of Altamont	
Harrison Mary St Leger Kingsley	B3672	{4085531, 6801327}		{'nyp.33433074857982'}	{'English fiction'}	The history of Sir Richard Calmady  a romance	
Le Queux William	B4828	{8956024}		{'nyp.33433074878269'}	{'English fiction'}	If sinners entice thee	
Merrick Leonard	B5522	{8849153, 3169642}		{'nyp.33433074971403'}	{'English fiction'}	The actormanager	
King R J Richard John	B4569	{8473826}		{'nyp.33433074877428'}	{'Saint, Abp. of Hamburg', '801-865', 'English fiction', 'Anscher'}	Anschar A story of the North	
HarrisBurland J B John Burland	B3653	{8926284}		{'nyp.33433074850904'}	{'English fiction'}	The broken law	
Wemyss Mary C E	B8618	{3199872}		{'nyp.33433075767347'}	{'English fiction'}	Petunia	
Jacob Violet	B4293	{9433415}		{'nyp.33433074867304'}	{'English fiction'}	Irresolute Catherine	
Hayllar Florence	B3665	{3160696, 6828077}		{'nyp.33433074853262'}	{'English fiction'}	Nepenthes	
Oxenham John	B6298	{6837766}		{'nyp.33433075744833'}	{'English fiction'}	White fire	
Sergeant Adeline	B7466	{3194307, 8920435, 6824411}	{'Novel'}	{'nyp.33433075746630'}	{'English fiction'}	The passion of Paul Marillier	
Blagden Isa	B703	{4360385}		{'nyp.33433074940721', 'nyp.33433074940713'}	{'English fiction'}	The cost of a secret	
Blackford Martha Mrs	B689	{5159747}	{'Juvenile audience'}	{'nyp.33433074939905'}	{'Scottish authors', 'English fiction'}	The Scottish orphans a moral tale founded on an historical fact and calculated to improve the minds of young people	
Lever Charles James	B4798	{4384176, 8671949}		{'nyp.33433074871058'}	{'English fiction'}	Paul Gossletts confessions in love law and the civil service  with an illustration by Marcus Stone	
