author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Judson Katharine Berry	B4338	{3217727}		{'uc2.ark+=13960=fk5m902c7t'}	{'Southwest, New', 'Indians of North America', 'California', 'Pacific States', 'Folklore'}	Myths and legends of California and the Old Southwest		1912
Judson Katharine Berry	B4423	{3217727}		{'wu.89081231532'}		Myths and legends of Alaska		1911
George Baskerville Baskerville Rosetta Gage Harvey Mrs	B3024	{3222383}		{'mdp.39015031992624'}	{'Uganda', 'Folklore'}	The king of the snakes and other folklore stories from Uganda		1922
Macleod Fiona	B5780	{3169788, 6799254}		{'uc2.ark+=13960=t73t9mx97'}	{'Social life and customs', 'Mythology, Celtic', 'Scotland'}	The washer of the ford and other legendary moralities		1896
Warren Maude Radford Maude Lavinia Radford	B8865	{3208775}		{'uva.x000503972'}	{'Robin Hood (Legendary character)', 'Legends'}	Robin Hood and his merry men		1914
Leland Charles Godfrey	B5072	{8751522}	{'Bibliographies'}	{'nyp.33433081750147'}		The Algonquin legends of New E		1884
Ingoldsby Thomas	B4201	{8582856}		{'mdp.39015063525888'}		The Ingoldsby legends or Mirth		1845
Mackenzie Donald A Donald Alexander	B5251	{3204548}		{'mdp.39015007010823'}	{'Scotland', 'Legends', 'Folklore'}	Wonder tales from Scottish myth  legend		1917
Cox George W George William	B1812	{2696129, 8520482, 8689924, 2469660}		{'uc2.ark+=13960=t9g450j6z'}	{'Heldensage', 'Germanic peoples', 'Germany', 'Legends', 'Folklore'}	Tales of the Teutonic lands		1872
Rhys Ernest	B6894	{3214079}	{'Juvenile audience'}	{'inu.39000005567032'}	{'Fairy tales'}	English fairy tales		1913
Kincaid C A Charles Augustus	B4617	{3196563}		{'uc2.ark+=13960=t47p8zw9k'}	{'India', 'Folklore'}	Deccan nursery tales		1914
Croker Thomas Crofton	B1945	{5152094}		{'hvd.32044014453831'}		Fairy legends and traditions o		1826
Vernaleken Theodor	B8350	{6697436}		{'mdp.39015002282625'}	{'Austria', 'Czech Republic', 'Folklore', 'Bohemia'}	In the land of marvels folktales from Austria and Bohemia		1884
Judson Katharine Berry	B4428	{3217727}	{'Bibliographies'}	{'wu.89062172606'}		Myths and legends of the Pacif		1910
Steel Flora Annie Webster	B7963	{6737396}	{'Bibliographies', 'Folklore'}	{'inu.39000005528760'}		Wideawake stories  a collectio		1884
