author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Aldrich Thomas Bailey Mrs	B105	{8525908}		{'nyp.33433082170881'}		Prudence Palfrey A novel	1874
Walker E O	B8710	{3170987, 6775438}		{'uc1.b3325320'}		A romance of Ceylon	1899
Robinson F W Frederick William	B7145	{9446250}		{'uiuo.ark+=13960=t07w70x4m', 'uiuo.ark+=13960=t5n87w153', 'uiuo.ark+=13960=t1bk20h2g'}		Owen a waif	1862
Montgomery L M Lucy Maud	B6077	{3177427}		{'uc2.ark+=13960=t7xk8686z'}		Chronicles of Avonlea	1912
Fisher Dorothy Canfield	B2836	{3223471}		{'uc1.b4095339'}		Basque people	1931
Sears Edmund H Edmund Hamilton	B7576	{8712388}		{'uc1.$b408740'}		Pictures of the olden time	1857
Norris Kathleen Thompson	B6092	{6856334}		{'mdp.39015063936275'}		The story of Julia Page	1915
Marryat Frederick	B5423	{8874349, 8598430}		{'nyp.33433074880950'}	{'English fiction'}	Snarleyyow or The dog fiend	1837
Hewlett Maurice Henry	B3707	{6848680, 9074369, 2439439}		{'nyp.33433074870357'}		The song of Renny	1911
Sterndale Robert Armitage	B7384	{8725978}		{'mdp.39015059433204'}	{'India', 'Hunting'}	Seonee or Camp life on the Satpura Range a tale of Indian adventure	1877
Seton Ernest Thompson	B7919	{2436600, 3202649}		{'uc2.ark+=13960=t9668b16q'}		Wild animals at home	1913
Hogg James	B4149	{5172822}		{'uc1.$b392126'}		The three perils of man war wo	1835
Anstey F	B160	{3178820}		{'uc2.ark+=13960=t48p61099'}	{'Veterinarians', 'Drama', 'Mistaken identity', 'Satire', 'Authors'}	Lyre and lancet	1895
Savage M W Marmion Wilard	B7607	{9443972, 9586879}		{'uc1.b3327341'}		Reuben Medlicott or The coming	1852
Gibbon Perceval	B3244	{3192524}		{'uc2.ark+=13960=t2891532p'}		Flower o the peach	1911
Norris W E William Edward	B6115	{9421447}		{'nyp.33433074954573'}		Natures comedian	1904
Braddon M E Mary Elizabeth	B1046	{8592004}		{'uiuo.ark+=13960=t4gm8r25w', 'uiuo.ark+=13960=t9x06n58w', 'uiuo.ark+=13960=t8v98pc5h'}		The Lovels of Arden	1871
Machray Robert	B5724	{8885528, 6820902}		{'uc2.ark+=13960=t3pv6cz6q'}		The mystery of Lincolns Inn	1910
Jacks L P Lawrence Pearsall	B4342	{3279497, 2434335}		{'uc2.ark+=13960=t0ks6n112'}		All men are ghosts	1913
Wells H G Herbert George	B8460	{8860822}	{'Science fiction', 'Dystopias', 'Bibliographies', 'Novel'}	{'dul1.ark+=13960=t80k32x0x'}	{'Twenty-first century', 'Twenty-second century', 'Technological innovations', 'Science fiction', 'Time travel'}	When the sleeper wakes	1899
Anstey F	B70	{3149520, 8840833}		{'nyp.33433074859970'}	{'English fiction'}	The statement of Stella Maberly	1896
Tytler Sarah	B8105	{8963144, 5023284}		{'nyp.33433074871538'}	{'English fiction'}	Wearing the willow or Bride Fielding A tale of Ireland and of Scotland sixty years ago	1860
Mitford Mary Russell	B5635	{5001297, 6147194}		{'uc1.b3581552'}		Country stories	1837
Smith Logan Pearsall	B7321	{3223191}		{'loc.ark+=13960=t5m90t06p'}		More trivia	1921
Hall Bolton	B3644	{3197992}		{'nyp.33433074804158'}		The game of life	1902
Birmingham George A	B972	{6800856, 8953030}		{'uc2.ark+=13960=t7xk87c76'}		The Simpkins plot	1912
Bell J J John Joy	B1068	{3169856}		{'uva.x002220807'}		Oh Christina	1909
Knight Charles	B4539	{8821476}		{'njp.32101071987331', 'njp.32101071987349', 'njp.32101071987356'}	{'Collections', 'Liberation'}	Halfhours with the best authors selected and arranged with short biographical and critical notices	1848
Webster Henry Kitchell	B8939	{6798001, 6815190}		{'mdp.39015031307674'}		The banker and the bear the st	1900
Crane Stephen	B1924	{6786994}		{'uc1.b4374292'}		The Little regiment and other 	1896
Westrup Margaret	B8675	{8913136}		{'nyp.33433081963971'}		The coming of Billy	1905
