author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Yonge Charlotte M Charlotte Mary	B9009	{6219382, 8624695}	{'Juvenile audience'}	{'njp.32101076782448', 'njp.32101076782455'}		The daisy chain  or Aspirations  a family chronicle	1856
Deeping Warwick	B2226	{8934078}		{'nyp.33433074958731'}		The slanderers	1905
Linklater Eric	B5064	{2491401, 3218974}		{'mdp.39015005580298'}		Juan in America  a novel	1931
Dixon Thomas	B2499	{3227700}		{'uva.x000467527'}		The leopards spots  a romance 	1902
Westall William	B8882	{8521557}		{'nc01.ark+=13960=t87h2d09d'}		The Princes of Peele	1892
Meredith George	B5628	{6614529, 8789641}	{'Bibliographies'}	{'uc1.b3328941', 'uc1.b3328942', 'uc1.b3328940'}	{'Tobacco'}	One of our conquerors	1891
Castle Agnes Sweetman	B1432	{3192497}		{'njp.32101063605297'}	{'World War, 1914-1918'}	Count Raven	1916
Holme Constance	B3911	{3239553}		{'uc2.ark+=13960=t52f7rw91'}		The lonely plough	1914
Spenser Edmund	B7883	{6755094}		{'mdp.39015008844709'}		The faerie queene	1599
Symons Arthur	B7360	{9028912}		{'mdp.39015031304903'}		Spiritual adventures	1905
Reynolds Baillie Mrs	B7129	{3232785}		{'uc2.ark+=13960=t8bg2k809'}		The affair at the chcateau	1920
Jesse F Tennyson Fryniwyd Tennyson	B4255	{3180664, 2433546}		{'mdp.39015068355521'}		The milky way	1913
Wells H G Herbert George	B8514	{3227810}		{'uc1.32106006154352', 'uc1.32106019365086', 'uc1.32106015660035', 'mdp.39015054151561', 'mdp.39015049619177', 'miun.ahq2458.0008.001', 'mdp.39015054151579', 'uc1.32106005506826', 'uc1.32106005849879', 'uc1.32106019365045', 'mdp.39015054151520', 'uc1.32106019365052', 'mdp.39015054151462', 'uc1.32106005854119', 'uc1.32106007222711', 'mdp.39015054151553', 'uc1.32106005852287', 'mdp.39015054151504', 'mdp.39015054151355', 'mdp.39015054151496', 'uc1.32106019365128', 'uc1.32106005850737'}		The works of H G Wells	1924
MacMahon Bryan	B5944	{8856075, 6808076}		{'mdp.39015066051288'}		The liontamer and other storie	1949
Schefer Leopold	B7917	{9153883}		{'mdp.39015018060106'}		The artists married life  bein	1848
Marshall Emma Mrs	B6025	{3167680}		{'nyp.33433074895115'}		Under the dome of St Pauls a s	1898
James Henry	B4380	{8590909}	{'Humorous stories'}	{'uc2.ark+=13960=t84j0c38h'}	{'Boston (Mass.)', 'Europeans', 'United States', 'Upper class', 'New England'}	The Europeans	1879
Stacpoole H De Vere Henry De Vere	B7845	{9437344, 6844663}		{'uc1.31175003004564'}		The blue lagoon a romance	1908
Benson E F Edward Frederick	B615	{9425810, 3173702, 6816154}		{'nyp.33433074926746'}	{'English fiction'}	The angel of pain	1905
Pryde A	B6457	{8921449, 6820979}		{'mdp.39015030019338'}		The heart of the northern sea	1907
Knight Charles	B4539	{8821476}		{'njp.32101071987331', 'njp.32101071987349', 'njp.32101071987356'}	{'Collections', 'Liberation'}	Halfhours with the best authors selected and arranged with short biographical and critical notices	1848
Lloyd Nelson	B4869	{8863873, 6829956}		{'nyp.33433076074941'}		The soldier of the valley	1904
Maxwell W B William Babington	B5603	{3246824}		{'uc1.$b787157'}		The people of a house	1934
Hardy Thomas	B4018	{3213129}		{'mdp.49015002139294'}		Lifes little ironies and a few	1920
Aubrey Frank	B163	{6656980}		{'uc2.ark+=13960=t4kk94r7b'}		The deviltree of El Dorado	1897
Wharton Edith	B8726	{3226523}		{'uc1.b3864888'}	{'World War, 1914-1918'}	A son at the front	1923
Chambers Robert W Robert William	B2037	{8934240}		{'njp.32101063605438'}		The dark star	1917
Webster Henry Kitchell	B8939	{6798001, 6815190}		{'mdp.39015031307674'}		The banker and the bear the st	1900
Deeping Warwick	B2090	{3166978, 8928694}		{'coo.31924013604990'}		The lame Englishman	1910
Oxenham John	B6294	{8890757}		{'nyp.33433075744759'}		Hearts in exile	1904
Whiteing Richard	B8544	{3163441, 8919154}		{'mdp.39015063976198'}		Ring in the new	1906
