author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Barber Thomas H	B751	{2450802}		{'uc1.$b283084'}	{'World War, 1914-1918', 'Personal narratives, American'}	Along the road	
Brandt Johanna	B898	{3193619}		{'uc2.ark+=13960=t3bz64q16'}	{'South African War, 1899-1902', 'Women', 'Biography', 'Personal narratives', 'IsBiographical', 'South Africa'}	The Petticoat commando	
Vachell Horace Annesley	B8359	{3198045}		{'mdp.39015063977030'}	{'World War, 1914-1918'}	The soul of Susan Yellam	
Castle Agnes Sweetman	B1432	{3192497}		{'njp.32101063605297'}	{'World War, 1914-1918'}	Count Raven	
QuillerCouch Arthur Thomas Sir	B6845	{8899940, 6822557}		{'uc2.ark+=13960=t2k64k49c'}	{'History', 'United States', 'French and Indian War, 1754-1763'}	Fort Amity	
Woods Margaret L Margaret Louisa	B8825	{6801016, 6815283, 8968507}		{'uc2.ark+=13960=t9571cj0b'}	{'Peninsular War, 1807-1814'}	Sons of the sword	
Cooper James Fenimore	B1671	{4968587}		{'uc1.b3321351'}	{'Antirent War, N.Y., 1839-1846', 'Revolution, 1775-1783', 'History'}	The chainbearer  or The Littlepage manuscripts	
Crane Stephen	B1861	{3178467}	{'Bibliographies'}	{'uva.x000208724'}	{'Chancellorsville, Battle of, Chancellorsville, Va., 1863', 'History', 'Civil War, 1861-1865'}	The red badge of courage an episode of the American civil war	
Ballantyne R M Robert Michael	B941	{8823788}		{'uc2.ark+=13960=t6639tr4g'}	"{'Turkey', 'Juvenile fiction', 'War stories', 'Adventure stories', ""Children's stories""}"	In the track of the troops	
Williams Ben Ames	B8681	{3220066}		{'uc1.$b105981'}	{'War of 1812', 'History'}	Thread of scarlet	
Tytler Sarah	B8236	{4851126}		{'uiuo.ark+=13960=t8qc0hz7f', 'uiuo.ark+=13960=t2891q545', 'uiuo.ark+=13960=t3ws9618t'}	{'France', 'History', 'Revolution'}	Citoyenne Jacqueline	
Morlae Edward	B5718	{8978119}		{'uc2.ark+=13960=t3cz35s44'}	{'France', 'Personal narratives', 'L????gion ????trang????re', 'World War, 1914-1918', 'Arm????e'}	A soldier of the Legion	
Yonge Charlotte M Charlotte Mary	B9005	{5173741}		{'njp.32101067487486'}	{'Campaigns', 'Napoleon', '1769-1821', 'Napoleonic Wars, 1800-1815', 'Russia', 'Emperor of the French'}	Kenneth or The rear guard of the grand army	
