RecordID	RecordTitle	PathID	Title	AlphaPubDate	PubYear	bookauthor	booktitle	bookdate	matchquality
3897026	Female Biography; or, Memoirs of illustrious and celebrated Women, of all Ages and 3 Countries, alphabetically arranged.	20160127191440_00012	The Monthly register and encyclopedian magazine	Mar 1803	1803	Hays, Mary	Female biography; or, memoirs of illustrious and celebrated women, of all ages and countries	1803	3.737210433244916
4566299	St. Leon: a Tale of the Sixteenth Century.	20160127193123_00003	The Critical review, or, Annals of literature	Jan 1800	1800	Godwin, William	St. Leon: a tale of the sixteenth century	1801	3.5634600389863547
4568352	Frederic Latimer; or, the History of a Young Man of Fashion.	20160127224227_00003	The Critical review, or, Annals of literature	Aug 1800	1800	nan	Frederic Latimer; or, The history of a young man of fashion	1799	3.4401341589267282
2658173	Mordaunt. Sketches of Life, Characters and Manners in various Countries; including the Memoirs of a French Lady of Quality. By the Author of Zeluco and Edward. 3 vols. 8vo. Robinsons. 1800.	20160127190310_00010	The New London review; or, monthly report of authors and books, Jan. 1799-Jun. 1800	Feb 1800	1800	Moore, John	Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality	1800	3.429263967357188
4560583	Mordaunt. Sketches of Life, Characters, and Manners, in various Countries; including the Memoirs of a French Lady of Quality.	20160127224123_00002	The Critical review, or, Annals of literature	Mar 1800	1800	Moore, John	Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality	1800	3.429263967357188
5419652	SOME ACCOUNT OF THE LIFE AND WRITINGS OF LOPE FELIX DE VEGA CARPIO.	20160128000429_00007	Beau Monde, or, Literary and fasionable magazine., 1806-1809	Nov 1806	1806	Sterne, Laurence	Some account of the life and writings of Mr. Sterne. The life and opinions of Tristram Shandy, gentleman	1804	3.3881056361938713
5419845	SOME ACCOUNT OF THE LIFE AND WRITINGS OF LOPE FELIX DE VEGA CARPIO.	20160127231415_00004	Beau Monde, or, Literary and fasionable magazine., 1806-1809	Dec 1806	1806	Sterne, Laurence	Some account of the life and writings of Mr. Sterne. The life and opinions of Tristram Shandy, gentleman	1804	3.3881056361938713
4564753	The Rational Brutes; or, Talking Animals.	20160127224227_00003	The Critical review, or, Annals of literature	Jul 1800	1800	Kilner, Dorothy	The rational brutes, or, Talking animals	1803	3.376838095238095
4959991	Tales of Fashionable Life, by Miss Edgeworth, Author of Practical Education, Belinda, Castle Rackrent, Essay on Irish Bulls, &c.	20160127230657_00008	Cabinet	Jul 1809	1809	Edgeworth, Maria	Tales of fashionable life	1809	3.230660182729148
4573641	A Letter to the Right Hon. Lord Somerville, one of the Lords of his Majesty's Bedchamber, and late President of the Board of Agriculture, with a View to shew the Inutility of the Plans and Researches of that Institution, and how it might be employed in others more beneficial. With Remarks on the recent Communications of the Board, and a Review of the Pamphlets of Arthur Young and William Brooke, Esqrs. upon the present high Price of Provisions.	20160127192508_00001	The Critical review, or, Annals of literature	Oct 1800	1800	pseud. Fabius	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	1821	3.161010101010101
2657815	St. Godwin; a Tale of the Sixteenth, Seventeenth, and Enghteenth Century. By Count Reginald De St. Leon. 12mo. Wright. 1800.	20160127185900_00007	The New London review; or, monthly report of authors and books, Jan. 1799-Jun. 1800	Jan 1800	1800	Du Bois, Edward	St. Godwin: a tale of the sixteenth, seventeenth, and eighteenth century	1800	3.154504483430799
6904731	ART. V. Travels from Moscow through Prussia, Germany, Switzerland, France, and England.	20160127191440_00012	The Edinburgh review,  1802-1929	Jan 1804	1804	Karamzin, Nikolaĭ Mikhaĭlovich	Travels from Moscow, through Prussia, Germany, Switzerland, France , and England	1803	3.143456351056351
4955065	All the Blocks! Or, an Antidote to 'All the Talents,' a Satirical Poem.	20160127230149_00002	Cabinet, or, monthly report of polite literature, 1807-1808	Jun 1807	1807	Ireland, W. H. (William Henry)	All the blocks! : or, an antidote to 'All the talents'. A satirical poem in three dialogues	1807	3.127511111111111
4952778	John de Lancaster, a Novel, by Richard Cumberland, Esq. 3 vols. 12mo.	20160127234659_00002	Cabinet	Jul 1809	1809	Cumberland, Richard	John de Lancaster.  A novel	1809	3.117818787884259
4559949	Memoirs of Modern Philosophers.	20160127224021_00001	The Critical review, or, Annals of literature	Jul 1800	1800	Hamilton, Elizabeth	Memoirs of modern philosophers	1800	3.107082228116711
2662672	Memoirs of Modern Philosophers. 12mo. 3 vols. 15s. sewed. Robinsons. 1800.	20160127183222_00004	The New London review; or, monthly report of authors and books, Jan. 1799-Jun. 1800	May 1800	1800	Hamilton, Elizabeth	Memoirs of modern philosophers	1800	3.107082228116711
5415436	CLASSIC TALES, SERIOUS AND LIVELY; WITH CRITICAL ESSAYS ON THE MERITS AND REPUTATION OF THE AUTHORS.	20160127230454_00006	Beau Monde, or, Literary and fasionable magazine., 1806-1809	Jan 1807	1807	nan	Classic tales : serious and lively	1806	3.1045410256410255
8494758	147. Marmion Travestied; a Tale of Modern Times.	20160127192303_00008	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Nov 1809	1809	pseud. Pry, Peter	Marmion travestied; a tale of modern times	1809	3.0734389012232817
6159117	A SHORT ACCOUNT OF THE LIFE AND OPINIONS OF ARCHIBALD EARL OF KELLIE.	20160128003632_00009	The Scots magazine,  1739-1803	Oct 1802	1802	Brayton, Patience Greene	A short account of the life and religious labours of Patience Brayton, late of Swansey, in the state of Massachusetts	1802	3.0530916305916307
6209428	SKETCH OF THE LIFE, CHARACTER AND WRITINGS, OF SIR JAMES BALFOUR OF KINAIRD, LORD LYON, KING AT ARMS.	20160127235209_00009	The Scots magazine,  1739-1803	Oct 1803	1803	Necker de Saussure, Albertine Adrienne	Sketch of the life, character, and writings of Baroness de Staël-Holstein	1820	3.048629426129426
4573989	The Works of Robert Burns.	20160127224227_00003	The Critical review, or, Annals of literature	Sep 1800	1800	Burns, Robert	The works of Robert Burns ;	1824	3.0176335877862592
4578678	The Works of Robert Burns.	20160127230149_00002	The Critical review, or, Annals of literature	Nov 1800	1800	Burns, Robert	The works of Robert Burns ;	1824	3.0176335877862592
4567338	Tales, Anecdotes, and Letters. Translated from the Arabic and Persian.	20160127234700_00003	The Critical review, or, Annals of literature	May 1800	1800	nan	Tales, anecdotes, and letters	1800	3.0117633166626976
4958284	A Father's Advice to his Son at School.	20160127231005_00012	Cabinet, or, monthly report of polite literature, 1807-1808	Sep 1808	1808	Bouilly, Jean Nicolas	A father's advice to his daughter; or, Instructive narratives from real life	1813	2.9794444444444443
8236436	86. Juvenile Biography; or, Lives of celebrated Children; inculcating Virtue by eminent Examples from real Life. To which are added, Reflections, addressed to the Youth of both Sexes.	20160127191439_00002	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Mar 1801	1801	Josse, Auguste-Louis	Juvenile biography; or, lives of celebrated children : Inculcating virtue by eminent examples from real life. To which are added moral reflections, addressed to the youth of both sexes	1801	2.9789333333333334
4959105	Coelebs in search of a Wife, comprehending Observations on Domestic Habits and Manners, Religion and Morals.	20160127230149_00002	Cabinet	Apr 1809	1809	More, Hannah	Cœlebs in search of a wife : comprehending observations on domestic habits and manner, religion and morals	1809	2.9608444444444446
4566046	A Tour through the Island of Man, in 1797 and 1798; comprising Sketches of its ancient and modem History, Constitution, Laws, Commerce, Agriculture, Fishery, &c. including whatever is remarkable in each Parish, its Population, Inscriptions, Registers, &c.	20160127224227_00003	The Critical review, or, Annals of literature	Nov 1800	1800	Williams, Cynric R	A tour through the island of Jamaica, from the Western to the eastern end in the year 1823	1826	2.934242424242424
4573873	A Letter to the Right Hon. William Windham, on his late Opposition to the Bill to prevent Bull-Baiting.	20160127224227_00003	The Critical review, or, Annals of literature	Aug 1800	1800	pseud. Fabius	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	1821	2.930454545454545
8204508	110. The Twin Sisters; or, The Advantages	20160127191130_00009	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Sep 1807	1807	nan	The twin sisters; or, The advantages of religion	1807	2.856666666666667
8266574	84. The Academy; or, a Picture of Youth. Harris, &c.	20160127191130_00009	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Jul 1809	1809	Mackenzie, William	The academy; or, A picture of youth	1808	2.810751515151515
5690747	II. The Cottagers of Glenburnie, a Tale for the Farmer's Ingle-nook.	20160127231312_00003	scots magazine and Edinburgh literary miscellany, Jan. 1804-July 1817	Sep 1808	1808	Hamilton, Elizabeth	The cottagers of Glenburnie : a tale for the farmer's ingle-nook	1808	2.7999859649122807
4956236	A Narrative of the Loss of the Ship Fanny, on her Voyage from Bombay to China: with an Account of the extraordinary preservation of a part of her Crew, after remaining several Weeks on Rocks in the centre of the Chinese Ocean.	20160127230657_00008	Cabinet, or, monthly report of polite literature, 1807-1808	Feb 1808	1808	Stout, Benjamin	Narrative of the loss of the ship Hercules, commanded by Captain Benjamin Stout, on the coast of Caffraria, the 16th of June, 1796; also, a circumstantial detail of his travels through the southern deserts of Africa, and the colonies, to the Cape of Good Hope. With an introductory address to the Rt. Honourable John Adams, president of the Continental Congress of America	1798	2.792590476190476
2797286	LXIV. The DUELLISTS; or MEN of HONOUR: a Story calculated to shew the Folly, Extravagance. and Sin of Duelling.	20160127183934_00012	The Literary magazine ; or, Monthly epitome of British literature	Oct 1805	1805	Lucas, William	The duellists; or, Men of honour: a story; calculated to shew the folly, extravagance, and sin of duelling	1805	2.7597611721611726
4566087	The Stories of Senex; or, Little Histories of Little People.	20160127224227_00003	The Critical review, or, Annals of literature	Nov 1800	1800	Kendall, Edward Augustus	The stories of Senex, or, Little histories of little people	1800	2.7373900432900435
