seq	AlphaPubDate	PathID	PubYear	RecordID	RecordTitle	Title	bookauthor	bookdate	booktitle	matchquality	isfiction	singlework	actualtitle	actualauthor	howpositive	genresnamed	comments
0	Oct 2, 1875	20160127192715_00011	1875	8705503	John Holdsworth, Chief Mate.	The Athenaeum	Russell, William Clark	1880.0	John Holdsworth, chief mate	3.4318033840222744							
1	Jul 1807	20160127234903_00005	1807	4962734	The Mountain Bard; Consisting of Ballads and so gs, founded on Facts and Le Tales.	Cabinet, or, monthly report of polite literature, 1807-1808	Hogg, James	1821.0	The mountain bard ; consisisting of legendary ballads and tales	2.5066							
2	Sep 1892	20160127233243_00005	1892	6018300	Book review	Novel review											
3	Jan 1899	20160127184845_00001	1899	3174897	THE OPTIMIST.	The Bookman	Goss, Charles Frederic	1897.0	The optimist	2.3233333333333333							
4	Nov 6, 1886	20160127192510_00019	1886	6725479	Our Home by the Adriatic.	The Academy, 1869-1902, 0269-333X	Collier, Margaret	1886.0	Our home by the Adriatic	3.2899630801687763							
5	May 6, 1871	20160128001956_00005	1871	8569120	PEEPS AT THE FAR EAST.	Examiner											
6	Jun 1817	20160127192510_00019	1817	8198637	79. Placide, a Spanish Tale. In Two Vols. Translated from Les Battuecas, of Madame de Genlis.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	comtesse de, Genlis, Stéphanie Félicité	1817.0	Placide : a Spanish tale	2.493726385814909							
7	Jul 17, 1880	20160128010124_00007	1880	8541999	Lady Laura.	Examiner	Christie, Mary Elizabeth	1880.0	Lady Laura	2.1725688477638245							
8	Dec 21, 1878	20160127191542_00003	1878	8708033	CHRISTMAS BOOKS.	The Athenaeum	Dickens, Charles	1885.0	Christmas books	2.256296296296296							
9	Oct 1913	20160127183222_00004	1913	2433881	THE OLD TIME BEFORE THEM.	The English review,  1908-1937	Phillpotts, Eden	1913.0	The old time before them	3.016950234765506							
10	Dec 25, 1819	20160127234351_00001	1819	5074377	Tales of My Landlord. New Series; containing Pontefract Castle.	The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822		1820.0	Tales of my landlord	2.4707023550160807							
11	Feb 9, 1861	20160127231211_00014	1861	5309345	EVAN HARRINGTON.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Meredith, George	1887.0	Evan Harrington	2.2266666666666666							
12	Nov 1819	20160127190515_00012	1819	2705604	ART. I. A Narrative of the Expedition to the Rivers Orinoco and Apure in South America, which sailed from England in November 1817, and joined the Patriotic Forces in Venezuela and Caraccas.	The Edinburgh monthly review											
