seq	RecordID	RecordTitle	PathID	Title	AlphaPubDate	PubYear	bookauthor	booktitle	bookdate	matchquality	isfiction	howpositive	genresnamed	comments
1300	9006885	Evenings at Haddon Hall.	20160127191335_00001	The Athenaeum	Oct 25, 1845	1845	baroness, Calabrella, E. C. de	Evenings at Haddon Hall	1846	3.2217385436022594				
1301	8800710	The Fall of Prince Florestan of Monaco.	20160127191542_00003	The Athenaeum	Mar 21, 1874	1874	Dilke, Charles Wentworth, Sir	The fall of Prince Florestan of Monaco	1874	3.721204481792717				
1302	3185039	DAYS SPENT ON A DOGE'S FARM.	20160127183527_00008	The Bookman	Dec 1908	1908	Symonds, Margaret	Days spent on a doge's farm	1893	3.2999118905607725				
1303	4382380	BLONDEL PARVA.	20160127193122_00012	The London review of politics, society, literature, art, and science	Nov 28, 1868	1868	Blondel Parva	Blondel Parva. [A novel]	1868	2.2533452239397547				
1304	8846150	Dulcie Everton.	20160127193122_00012	The Athenaeum	Oct 3, 1896	1896	Linton, E. Lynn (Elizabeth Lynn)	Dulcie Everton	1896	2.662857142857143				
1305	8927191	CHRISTMAS BOOKS.	20160127192303_00008	The Athenaeum	Dec 21, 1895	1895	Thackeray, William Makepeace	Christmas books	1896	2.345238095238096				
1306	8777903	The Child Wife.	20160127191542_00003	The Athenaeum	Sep 12, 1868	1868	Reid, Mayne	The child wife	1868	2.2975658807212205				
1307	8751712	John Herring.	20160127192159_00016	The Athenaeum	Nov 10, 1883	1883	Baring-Gold, S	John Herring	1884	2.444950495049505				
1308	8540965	The Recreations of a Country Parson.	20160128003428_00007	Examiner	May 11, 1861	1861	Boyd, Andrew Kennedy Hutchison	The recreations of a country parson	1863	3.2660150375939847				
1309	3182850	THE VALLEY OF SHADOWS.	20160127190825_00015	The Bookman	Jul 1909	1909	Grierson, Francis	The valley of shadows;	1909	2.1351326191270728				
1310	9453025	The Clever Woman of the Family.	20160127192053_00005	The Athenaeum	Apr 8, 1865	1865	Yonge, Charlotte M. (Charlotte Mary)	The clever woman of the family	1865	3.006698889345948				
1311	2469209	Charles Dickens as a Reader.	20160127190105_00008	Fortnightly review, May 1865-June 1934	Sep 1872	1872	Kent, Charles	Charles Dickens as a reader	1872	2.8890299775368016				
1312	3173384	A PROTEGEE OF JACK HAMLIN'S.	20160127185047_00002	The Bookman	Apr 1894	1894	Harte, Bret	A protégée of Jack Hamlin's and other stories	1889	2.292240978593272				
1313	5235273	"Narrative of a Voyage round the World; comprehending an Account of the Wreck of the Ship ""Governor Ready,"" in Torres Straits; a Description of the British Settlements on the Coasts of New Holland, more particularly Raffles Bay, Melville Island, Swan River, and King George's Sound; also, the Manners and Customs of the Aboriginal Tribes: with an Appendix, containing Remarks on Transportation, the Treatment of Convicts during the Voyage, and Advice to Persons intending to Emigrate to the Australian Colonies."	20160127231211_00014	The Literary gazette : A weekly journal of literature, science, and the fine arts	Nov 14, 1835	1835	Macdouall, John	Narrative of a voyage to Patagonia and Terra del Fuégo : through the Straits of Magellan, in H.M.S. Adventure and Beagle, in 1826 and 1827	1833	2.324826704014939				
1314	3241642	MAID IN WAITING.	20160127183222_00004	The Bookman	Feb 1932	1932	Galsworthy, John	Maid in waiting	1931	2.3863157894736844				
1315	3211718	THE ADVENTURES OF A TROPICAL TRAMP.	20160127190207_00009	The Bookman	Dec 1922	1922	Foster, Harry L. (Harry La Tourette)	The adventures of a tropical tramp	1922	3.105642658177477				
1316	9432523	The Beggar's Benison; or, a Hero without a Name, but wtth an Aim: a Clydesdale Story.	20160127193122_00012	The Athenaeum	Aug 18, 1866	1866	Mills, George	The beggar's benison, or, A hero, without a name, but, with an aim	1866	2.8989872180451126				
1317	9118779	The Comic Annual for 1842.	20160127192157_00006	The Athenaeum	Nov 20, 1841	1841	Hood, Thomas	The comic annual for 1846	1846	2.4482666666666666				
1318	2487718	THE WAVERLEY PAGEANT,	20160127183730_00010	Fortnightly review, May 1865-June 1934	Oct 1932	1932	Scott, Walter, Sir	The Waverley pageant: the best passages from the novels of Sir Walter Scott, selected	1932	2.109567901234568				
1319	6175636	The Life and Works of Goethe: with Sketches of his Age and Contemporaries, from Published and Unpublished Sources.	20160127231618_00005	The New quarterly review and digest of current literature, British, American, French, and German	Jan 1856	1856	Legge, James	The life and works of Mencius	1867	2.103486059817828				
1320	8618983	The Water Witch; or, the Skimmer of the Seas. A Tale.	20160127192611_00010	The Athenaeum	Oct 23, 1830	1830	Cooper, James Fenimore	The water witch; or, The skimmer of the seas.  A tale	1830	3.2822222222222215				
1321	6630899	The Woman who Did.	20160127191440_00012	The Academy, 1869-1902, 0269-333X	Mar 2, 1895	1895	Allen, Grant	The woman who did	1895	2.5914659367396595				
1322	2447147	THE DARK SWAN.	20160127180954_00001	The English review,  1908-1937	Oct 1924	1924	Pascal, Ernest	The dark swan	1924	2.2802873563218387				
1323	9350678	Gilbert Gurney.	20160127191542_00003	The Athenaeum	Dec 5, 1835	1835	Hook, Theodore Edward	Gilbert Gurney	1836	2.485909090909091				
1324	6424382	PINE AND PALM.	20160127233039_00003	Time	Mar 1888	1888	Conway, Moncure Daniel	Pine and palm	1887	2.4888235294117647				
1325	3214382	ADAM AND EVE AND PINCH ME.	20160127185249_00003	The Bookman	Jun 1921	1921	Coppard, A. E. (Alfred Edgar)	Adam and Eve and pinch me	1946	2.90443833003155				
1326	8835034	Kate Carnegie, and those Ministers.	20160127183222_00004	The Athenaeum	Jan 2, 1897	1897	Maclaren, Ian	Kate Carnegie and those ministers	1896	3.2242785714285715				
1327	9225261	The Untold Half.	20160127191542_00003	The Athenaeum	Jul 22, 1899	1899	Baker, Louie Alien, Mrs	The untold half	1899	2.5123809523809526				
1328	2455770	MR. BLETTSWORTHY ON RAMPOLE ISLAND.	20160127183832_00011	The English review,  1908-1937	Oct 1928	1928	Wells, H. G. (Herbert George)	Mr. Blettsworthy on Rampole Island	1928	3.659490992500193				
1329	3212099	THE SHRIEKING PIT.	20160127190721_00014	The Bookman	Jan 1920	1920	Rees, Arthur J. (Arthur John)	The shrieking pit	1919	2.8142424242424244				
1330	9091109	Matthew Ferguson.	20160127192508_00001	The Athenaeum	Aug 8, 1914	1914	Blake, Margaret	Matthew Ferguson	1914	2.5123376623376625				
1331	5244886	The Quiet Husband.	20160127230453_00005	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jun 6, 1840	1840	Pickering, Ellen	The quiet husband	1840	2.532857142857143				
1332	8879114	GRAHAM OF CLAVERHOUSE.	20160127192201_00017	The Athenaeum	Feb 15, 1908	1908	Maclaren, Ian	Graham of Claverhouse	1907	2.8256410256410254				
1333	6729693	Chaucer's Canterbury Tales.	20160127190414_00004	The Academy, 1869-1902, 0269-333X	Oct 19, 1889	1889	Chaucer, Geoffrey	Chaucer's Canterbury pilgrimage	1892	2.5044				
1334	9445680	Chateau Frissac; or, Home Scenes in France.	20160127193122_00012	The Athenaeum	Apr 26, 1862	1862	Logan, Olive	Chateau Frissac, or, Home scenes in France	1862	2.9249818245809567				
1335	2447424	THE DAY'S JOURNEY.	20160127183121_00003	The English review,  1908-1937	Jan 1925	1925	Maxwell, W. B. (William Babington)	The day's journey	1923	2.4585425685425686				
1336	8736677	The Paragreens on a Visit to the Paris Universal Exhibition.	20160127192407_00009	The Athenaeum	Dec 20, 1856	1856	Ruffini, Giovanni	The Paragreens on a visit to the Paris Universal Exhibition	1856	3.2817948717948724				
1337	8589047	Passages from the English Note-Books of Nathaniel Hauthorne.	20160128003123_00004	Examiner	Sep 3, 1870	1870	Hawthorne, Nathaniel	Passages from the French and Italian note-books of Nathaniel Hawthorne	1871	2.4007974448315914				
1338	3207673	THE MAN FROM THE WILDS.	20160127185900_00007	The Bookman	Nov 1921	1921	Clouston, J. Storer (Joseph Storer)	The man from the clouds	1919	2.1088548342997413				
1339	3219672	WINTER COMEDY.	20160127183526_00007	The Bookman	Jun 1931	1931	Thompson, Sylvia	Winter comedy	1931	2.261515151515152				
1340	8896799	The Arabian Nights' Entertainments: with Copious Notes by E. W. Lane.	20160127192407_00009	The Athenaeum	Oct 13, 1838	1838		The Arabian nights' entertainments:	1853	2.9777234530175702				
1341	8853390	The Amateur Cracksman.	20160127192053_00005	The Athenaeum	Apr 15, 1899	1899	Hornung, E. W. (Ernest William)	The amateur cracksman	1899	2.8625				
1342	4120367	FLORENCE NIGHTINGALE IN FICTION.	20160127190105_00008	The Review of reviews	Aug 1912	1912	Richards, Laura Elizabeth Howe	Florence Nightingale, the angel of the Crimea;	1920	2.1472233766233764				
1343	6671522	Basque Legends.	20160127191545_00013	The Academy, 1869-1902, 0269-333X	Feb 17, 1877	1877	Webster, Wentworth	Basque legends	1877	2.4819047619047616				
1344	8497510	The History and Antiquities of the Parish of Wimbledon, Surrey.	20160128010124_00007	Examiner	Aug 5, 1865	1865	Smith, William	The history and antiquities of Morley, in the west riding of the county of York	1876	2.7829166666666665				
1345	3228551	THEY COULD DO NO OTHER.	20160127183018_00002	The Bookman	Mar 1933	1933	Phillpotts, Eden	They could do no other; a volume of stories by Eden Phillpotts	1933	2.4047436045916863				
