volid,filename,title,enumcron
uc1.c3470736,athenaeum,The Athenaeum,
uc1.l0063360366,athenaeum,The Athenaeum,
uc1.$c108342,athenaeum,The Athenaeum,
uc1.l0089358063,athenaeum,The Athenaeum,
umn.319510019229602,athenaeum,The Athenaeum,
chi.79233926,athenaeum,The Athenaeum,
uc1.c3470729,athenaeum,The Athenaeum,
umn.31951001923026x,athenaeum,The Athenaeum,
uc1.c3470620,athenaeum,The Athenaeum,
njp.32101077276499,athenaeum,The Athenaeum,
uc1.l0082555038,athenaeum,The Athenaeum,
uc1.c109524947,athenaeum,The Athenaeum,
uc1.$c108330,athenaeum,The Athenaeum,
uc1.c3470752,athenaeum,The Athenaeum,
uc1.c3470731,athenaeum,The Athenaeum,
uc1.c3470751,athenaeum,The Athenaeum,
uc1.c3470602,athenaeum,The Athenaeum,
coo.31924106553286,athenaeum,The Athenaeum,
inu.30000080768108,athenaeum,The Athenaeum,
umn.319510019230225,athenaeum,The Athenaeum,
uc1.c3470611,athenaeum,The Athenaeum,
chi.79233180,athenaeum,The Athenaeum,
uc1.c3470727,athenaeum,The Athenaeum,
uc1.c3470726,athenaeum,The Athenaeum,
uc1.c065203504,athenaeum,The Athenaeum,
umn.319510019230217,athenaeum,The Athenaeum,
uc1.l0087597597,athenaeum,The Athenaeum,
uc1.$c108344,athenaeum,The Athenaeum,
uc1.c3470738,athenaeum,The Athenaeum,
umn.31951001923060x,athenaeum,The Athenaeum,
uc1.$c108331,athenaeum,The Athenaeum,
umn.31951001922967o,athenaeum,The Athenaeum,
uc1.c3470743,athenaeum,The Athenaeum,
umn.319510019229610,athenaeum,The Athenaeum,
uc1.c3470740,athenaeum,The Athenaeum,
uc1.$c108348,athenaeum,The Athenaeum,
uc1.$c108353,athenaeum,The Athenaeum,
umn.319510019230241,athenaeum,The Athenaeum,
nyp.33433104868173,athenaeum,The Athenaeum,"(v. 38, no. 1758-1783 (July-Dec. 1861))"
umn.31951001922973t,athenaeum,The Athenaeum,
uc1.$c108358,athenaeum,The Athenaeum,
nyp.33433081670840,athenaeum,The Athenaeum,
njp.32101077276317,athenaeum,The Athenaeum,
umn.31951001923028t,athenaeum,The Athenaeum,
umn.31951001923067j,athenaeum,The Athenaeum,
uc1.$c108352,athenaeum,The Athenaeum,
njp.32101077276325,athenaeum,The Athenaeum,
uc1.c3500305,athenaeum,The Athenaeum,
umn.31951001922937x,athenaeum,The Athenaeum,
uc1.c3470758,athenaeum,The Athenaeum,
uc1.c3470764,athenaeum,The Athenaeum,
chi.79233553,athenaeum,The Athenaeum,
uiug.30112042711082,athenaeum,The Athenaeum,
uc1.c3469032,athenaeum,The Athenaeum,
uc1.31158012156195,athenaeum,The Athenaeum,
chi.22468906,athenaeum,The Athenaeum,
nyp.33433081670832,athenaeum,The Athenaeum,
uc1.c3470629,athenaeum,The Athenaeum,
uc1.b000794774,athenaeum,The Athenaeum,
chi.12237508,athenaeum,The Athenaeum,
uc1.c006103014,athenaeum,The Athenaeum,
umn.31951001923064p,athenaeum,The Athenaeum,
uc1.l0074073693,athenaeum,The Athenaeum,
hvd.hw367l,athenaeum,The Athenaeum,
uc1.c3469028,athenaeum,The Athenaeum,
uc1.31158010164910,athenaeum,The Athenaeum,
chi.25738872,athenaeum,The Athenaeum,
njp.32101077276465,athenaeum,The Athenaeum,
uc1.l0060141496,athenaeum,The Athenaeum,
uc1.c109524497,athenaeum,The Athenaeum,
coo.31924106553542,athenaeum,The Athenaeum,
uc1.31158011214441,athenaeum,The Athenaeum,
uc1.c3470745,athenaeum,The Athenaeum,
uc1.31158011532883,athenaeum,The Athenaeum,
umn.31951001922985m,athenaeum,The Athenaeum,
uc1.c109524901,athenaeum,The Athenaeum,
umn.31951001922964u,athenaeum,The Athenaeum,
umn.31951001922982s,athenaeum,The Athenaeum,
umn.31951001923063r,athenaeum,The Athenaeum,
umn.31951001922947u,athenaeum,The Athenaeum,
uc1.$c108338,athenaeum,The Athenaeum,
uc1.c109524938,athenaeum,The Athenaeum,
uc1.c3470755,athenaeum,The Athenaeum,
uc1.l0073195133,athenaeum,The Athenaeum,
uc1.$c108359,athenaeum,The Athenaeum,
uc1.31158012156120,athenaeum,The Athenaeum,
uc1.l0084038579,athenaeum,The Athenaeum,
uc1.$c108343,athenaeum,The Athenaeum,
umn.31951001922976n,athenaeum,The Athenaeum,
uc1.$c108326,athenaeum,The Athenaeum,
uc1.31158011532875,athenaeum,The Athenaeum,
chi.79233077,athenaeum,The Athenaeum,
uc1.c3469026,athenaeum,The Athenaeum,
uc1.c3470728,athenaeum,The Athenaeum,
umn.31951001922965s,athenaeum,The Athenaeum,
