code	fullname	nation	deprecated
Am Anthropol	American Anthropologist	us	
Am Chem Soc J	Journal of the American Chemical Society	us	
Am. Econ. R.	American Economic Review	us	
Acad.	Academy	uk	y
Am. Hist. R.	American Historical Review	us	
Am J Public Health	American Journal of Public Health	us	
Am J. Psychol.	American Journal of Psychology	us	
Am. J. Theol.	American Journal of Theology	us	y
Am. J. Soc.	American Journal of Sociology	us	
Am. Pol. Sci. R.	American Political Science Review	us	
Am. J. Pub. Health	American Journal of Public Health		
Am. R.	American Review		
Ann. Am. Acad.	Annals of the American Academy of Political and Social Science	us	
Arena.	Arena	us	
Astrophys. J.	Astrophysical Journal	us	
Ath.	Athenaeum	uk	y
Atlantic Bookshelf	Atlantic Bookshelf	us	
Atlan.	Atlantic Monthly	us	y
Bib. World.	Biblical World	us	
Booklist	ALA Booklist	us	
Bookm.	Bookman	us	
Books	New York Herald Tribune Books	us	
Boston Transcript	Boston Evening Transcript	us	
Bot. Gaz.	Botanical Gazette	us	y
Canadian Forum	Canadian Forum	ca	
Canadian Hist R.	Canadian Historical Review	ca	
Cath. World.	Catholic World	us	
Chem. & Met. Eng.	Chemical and Mettalurgical Engineering	us	
Chicago Daily Tribune	Chicago Daily Tribune	us	
Christian Century	Christian Century	us	
Christian Science Monitor	Christian Science Monitor	us	
Class. Philol.	Classical Philology	us	
Columbia Law R.	Columbia Law Review	us	
Cleveland Open Shelf	Cleveland Open Shelf	us	
Commonweal	Commonweal	us	
Critic.	Critic.	us	
Crozer Q.	Crozer Quarterly	us	
Current Hist.	Current History	us	
Dial.	Dial	us	y
Economist	Economist	uk	
Educ. R.	Educational Review	us	y
El. School J.	Elementary School Journal	us	y
Eng. Hist. R.	English Historical Review	uk	
Eng. N.	Engineering News	us	y
Freeman	Freeman	us	y
Foreign Affairs	Foreign Affairs	us	
Forum.	Forum	us	
Geog. R.	Geographical Review	us	
Harvard Business R.	Harvard Business Review	us	
Harvard Law R.	Harvard Law Review	us	
Hibbert J.	Hibbert Journal	uk	
Hist. Outlook	Historical Outlook	us	y
Horn Bk.	Horn Book Magazine	us	
Ind. & Eng. Chem.	Industrial and Engineering Chemistry	us	
Ind.	Independent	us	y
Int. Bk. R.	International Book Review	us	y
Int. J. Ethics.	International Journal of Ethics	us	
Int. Studio.	International Studio	us	y
J. Geol.	Journal of Geology	us	
J. Home Econ.	Journal of Home Economics	us	
J. Philos.	Journal of Philosophy	us	
J. Phys. Chem.	Journal of Physical Chemistry	us	
J. Pol. Econ.	Journal of Political Economy	us	
J. Religion	Journal of Religion	us	
Library J.	Library Journal	us	
Library Q.	Library Quarterly	us	
Lit. R.	Literary Review of the Saturday Evening Post	us	y
Lit. D.	Literary Digest	us	y
Living Age	Living Age	us	y
Lond. Times.	London Times Literary Supplement	uk	y
Management and Adm.	Management and Administration	us	y
Management R.	Management Review		
Mod. Philol.	Modern Philology	us	
Nation.	The Nation	us	
Nation and Ath.	Nation and Athenaeum	uk	y
Nature.	Nature	uk	
New Outlook	New Outlook	us	from Outlook
New Repub.	New Republic	us	
New Statesman	New Statesman	uk	y
New Statesman and Nation	New Statesman and Nation	uk	
New Statesman & Nation	New Stateman and Nation	uk	from New Statesman
No. Am.	North American Review	us	
N. Y. Evening Post	New York Evening Post	us	y
N. Y. Post	New York Post	us	from New York Evening Post
NY Times	NYT Book Review		
N. Y. Times.	NYT Book Review	us	
Outlook.	Outlook	us	y
Philos. R.	Philosophical Review	us	y
Phys. R.	Physical Review	us	y
Pittsburgh Mo Bui	Pittsburgh Monthly Bulletin	us	
Pittsburgh Mo. Bul.	Pittsburgh Monthly Bulletin	us	y
Poetry	Poetry	us	
Pol. Sci. Q.	Political Science Quarterly	us	
Pratt	Pratt Institute Quarterly Booklist	us	
Psychol. Bull.	Psychological Bulletin	us	y
Pub. Opin.	Public Opinion	us	y
R. of Rs.	Review of Reviews	us	
Sat. R.	Saturday Review	uk	
Sat R. of Lit.	Saturday Review of Literature	us	
School Arts M.	School Arts Magazine	us	
School R.	School Review	us	
Scientific Bk. Club	Scientific Book Club	us	
Science, n.s.	Science (new series)	us	y
Social Studies	Social Studies	us	from Historical Outlook
Sprlngf'd Republican	Springfield Republican	us	
Springf'd Republican	Springfield Republican	us	
Spec.	Spectator	uk	
Special Libraries	Special Libraries	us	
St. Louis	St Louis Library Bulletin	us 	
Subscription Bks. Bul.	Subscription Books Bulletin	us	
Survey	Survey	us	
Survey G.	Survey Graphic	us	
Times [London] Lit. Sup	The Times Literary Supplement	uk	
Wis Lib Bui	Wisconsin Library Bulletin	us	
Wis. Lib. Bul.	Wisconsin Library Bulletin	us	
World Tomorrow	World Tomorrow	us	
Yale R.	Yale Review	us	
